x,y,z,cluster
0.998,0.203,0.613,3
0.097,0.755,0.457,2
0.097,0.84,0.419,2
0.887,0.198,0.482,1
0.975,0.231,0.517,3
0.378,0.038,0.307,0
0.416,0.056,0.23,0
1.009,0.203,0.597,3
0.917,0.21,0.454,1
0.91,0.204,0.553,3
0.941,0.187,0.55,3
0.527,0.062,0.234,0
0.399,0.091,0.313,0
0.527,0.707,0.763,2
0.41,0.673,0.74,2
0.469,0.068,0.313,0
0.979,0.208,0.521,3
0.596,0.069,0.305,0
0.927,0.271,0.609,3
0.88,0.212,0.411,1
0.105,0.785,0.417,2
0.567,0.048,0.26,0
0.876,0.213,0.502,1
0.942,0.018,0.622,4
0.477,0.684,0.874,2
0.887,0.187,0.565,3
0.937,0.204,0.644,3
0.381,0.028,0.302,0
0.5,0.679,0.787,2
0.493,0.004,0.27,0
0.044,0.845,0.414,2
0.688,0.933,0.494,2
0.94,0.192,0.46,1
0.998,0.26,0.491,3
0.356,0.04,0.258,0
0.972,0.085,0.649,4
0.967,0.249,0.571,3
0.962,0.033,0.585,4
0.29,0.027,0.271,0
0.917,0.019,0.592,4
0.379,0.011,0.301,0
0.078,0.774,0.438,2
0.445,0.008,0.246,0
0.09,0.765,0.507,2
0.381,0.036,0.279,0
0.906,0.274,0.426,1
0.398,0.084,0.236,0
0.858,0.223,0.427,1
0.949,0.022,0.614,4
0.954,0.235,0.512,3
0.07,0.71,0.409,2
0.368,0.074,0.344,0
0.428,0.068,0.271,0
0.95,0.017,0.598,4
0.513,0.012,0.244,0
0.571,0.744,0.75,2
0.005,0.839,0.428,2
0.441,0.136,0.329,0
0.502,0.662,0.806,2
0.452,0.729,0.775,2
0.054,0.775,0.399,2
0.952,0.217,0.516,3
0.762,0.976,0.532,2
0.501,0.12,0.301,0
0.341,0.035,0.33,0
0.976,0.261,0.545,3
0.054,0.76,0.468,2
1.025,0.18,0.58,3
0.939,0.03,0.658,4
0.478,0.089,0.331,0
0.68,0.913,0.524,2
0.765,0.998,0.457,2
0.492,0.042,0.218,0
0.869,0.048,0.515,4
0.965,0.286,0.52,3
0.998,0.212,0.556,3
0.906,0.231,0.477,1
0.025,0.799,0.511,2
0.052,0.833,0.404,2
0.936,0.04,0.64,4
0.5,0.079,0.168,0
0.862,0.081,0.585,4
0.08,0.746,0.428,2
0.466,0.662,0.714,2
0.507,0.075,0.298,0
0.503,0.712,0.781,2
0.57,0.595,0.851,2
0.495,0.64,0.721,2
0.908,0.03,0.584,4
0.543,0.68,0.878,2
0.331,0.03,0.295,0
0.473,0.072,0.262,0
0.47,0.02,0.303,0
0.992,0.201,0.545,3
0.096,0.783,0.514,2
0.977,0.285,0.592,3
0.084,0.817,0.512,2
0.063,0.852,0.402,2
0.528,0.074,0.293,0
0.466,0.107,0.276,0
0.397,0.111,0.212,0
0.688,0.948,0.542,2
0.353,0.05,0.302,0
0.471,0.05,0.264,0
0.92,0.063,0.547,4
0.549,0.705,0.802,2
0.81,0.231,0.476,1
0.882,0.199,0.476,1
0.475,0.725,0.766,2
0.896,0.193,0.441,1
0.932,0.033,0.673,4
0.781,0.971,0.507,2
0.568,0.685,0.896,2
0.965,0.207,0.566,3
0.859,0.166,0.415,1
0.164,0.792,0.428,2
1.023,0.215,0.436,1
0.04,0.815,0.43,2
0.384,0.086,0.238,0
0.922,0.045,0.57,4
0.627,0.954,0.562,2
0.471,0.654,0.821,2
0.441,0.078,0.249,0
0.913,0.208,0.424,1
0.464,0.68,0.754,2
0.804,0.987,0.606,2
0.69,0.999,0.501,2
0.463,0.021,0.229,0
0.79,0.913,0.491,2
0.391,0.112,0.291,0
0.077,0.768,0.426,2
0.076,0.762,0.415,2
0.945,0.229,0.574,3
0.706,0.992,0.591,2
0.061,0.826,0.429,2
0.147,0.825,0.437,2
0.872,0.231,0.431,1
0.886,0.212,0.453,1
0.714,0.995,0.588,2
0.491,0.093,0.306,0
0.95,0.03,0.614,4
0.822,0.236,0.475,1
0.948,0.28,0.523,3
0.334,0.103,0.295,0
0.419,0.006,0.237,0
0.122,0.754,0.465,2
0.754,0.973,0.59,2
0.931,0.022,0.65,4
0.461,0.689,0.763,2
0.499,0.077,0.222,0
0.536,0.084,0.278,0
0.92,0.201,0.497,1
0.898,0.21,0.459,1
0.561,0.645,0.799,2
0.708,1.012,0.539,2
0.333,0.031,0.229,0
0.471,0.65,0.853,2
0.545,0.692,0.834,2
0.298,0.11,0.212,0
0.925,0.244,0.517,3
0.858,0.154,0.518,1
0.938,0.016,0.586,4
0.419,0.034,0.268,0
0.347,0.058,0.271,0
0.969,0.237,0.634,3
0.463,0.04,0.289,0
0.35,0.082,0.246,0
0.83,0.201,0.451,1
0.701,0.969,0.634,2
0.401,0.089,0.31,0
0.882,0.176,0.437,1
0.936,0.046,0.55,4
0.772,0.89,0.547,2
0.48,0.107,0.325,0
0.491,0.726,0.766,2
0.871,0.174,0.561,3
0.955,0.207,0.53,3
0.514,0.111,0.256,0
0.978,0.04,0.601,4
0.94,0.277,0.493,3
0.659,0.982,0.558,2
0.518,0.662,0.723,2
0.874,0.064,0.573,4
0.519,0.091,0.238,0
1.023,0.168,0.536,3
0.346,0.118,0.29,0
1,0.096,0.573,4
0.859,0.026,0.64,4
0.726,1.026,0.53,2
0.987,0.287,0.579,3
0.877,0.213,0.458,1
0.981,0.236,0.517,3
0.939,0.226,0.545,3
0.078,0.753,0.429,2
0.499,0.639,0.81,2
0.519,0.712,0.839,2
0.42,0.086,0.259,0
0.948,0.231,0.451,1
0.502,0.667,0.803,2
0.767,0.986,0.566,2
0.491,0.597,0.771,2
0.323,0.03,0.231,0
0.348,0.134,0.252,0
0.938,0.005,0.638,4
0.584,0.624,0.863,2
0.727,0.929,0.513,2
0.922,0.163,0.565,3
0.451,0.114,0.312,0
0.077,0.815,0.571,2
0.101,0.771,0.376,2
0.121,0.784,0.476,2
0.359,0.06,0.243,0
1.003,0.256,0.535,3
0.925,0.209,0.466,1
0.406,0.115,0.338,0
0.531,0.098,0.305,0
0.732,0.976,0.54,2
0.378,0.022,0.231,0
0.753,0.975,0.521,2
0.922,0.14,0.463,1
0.973,0.212,0.492,3
0.844,0.216,0.455,1
0.713,1.004,0.58,2
0.517,0.566,0.796,2
0.988,0.278,0.491,3
0.477,0.107,0.261,0
0.059,0.81,0.5,2
0.022,0.843,0.426,2
0.097,0.711,0.422,2
0.084,0.865,0.39,2
0.821,1.026,0.557,2
0.406,0.105,0.33,0
0.918,0.191,0.514,3
0.492,0.655,0.834,2
0.122,0.797,0.463,2
0.418,0.019,0.267,0
0.992,0.238,0.457,1
0.442,0.082,0.286,0
0.1,0.787,0.414,2
0.081,0.787,0.405,2
0.977,0.275,0.612,3
0.466,0.107,0.296,0
0.912,0.306,0.481,1
0.511,0.163,0.284,0
0.407,0.062,0.232,0
0.033,0.729,0.451,2
0.463,0.08,0.326,0
0.947,0.272,0.521,3
0.885,0.342,0.5,3
0.482,0.65,0.786,2
0.996,0.208,0.587,3
0.553,0.069,0.31,0
0.955,0.194,0.436,1
0.468,0.677,0.813,2
0.461,0.093,0.281,0
0.899,0.165,0.544,3
0.88,0.224,0.433,1
0.775,0.955,0.538,2
0.997,0.038,0.534,4
0.906,0.125,0.466,1
0.491,0.044,0.28,0
0.927,0.222,0.523,3
0.916,0.198,0.395,1
0.462,0.079,0.293,0
0.971,0.291,0.476,3
0.035,0.743,0.433,2
0.929,0.036,0.593,4
0.438,0.755,0.815,2
1.019,0.039,0.54,4
0.909,0.083,0.667,4
0.953,0.085,0.616,4
0.893,0.053,0.648,4
0.907,0.228,0.486,1
0.389,0.042,0.204,0
0.888,0.08,0.533,4
0.053,0.77,0.401,2
0.525,0.585,0.772,2
0.73,0.993,0.563,2
0.973,0.043,0.596,4
0.503,0.683,0.835,2
0.512,0.094,0.208,0
0.501,0.064,0.249,0
0.974,0.249,0.541,3
0.086,0.754,0.534,2
0.984,0.071,0.581,4
0.914,0.235,0.465,1
0.425,0.66,0.825,2
0.378,0.021,0.28,0
0.322,0.06,0.314,0
0.989,0.036,0.593,4
0.946,0.233,0.485,1
0.504,0.666,0.795,2
0.899,0.238,0.407,1
0.951,0.019,0.663,4
0.048,0.836,0.485,2
0.447,0.019,0.268,0
0.042,0.772,0.439,2
0.389,0.033,0.331,0
0.498,0.746,0.742,2
0.029,0.772,0.466,2
0.876,0.214,0.38,1
0.908,0.151,0.513,1
0.447,0.035,0.332,0
0.585,0.711,0.806,2
0.949,0.221,0.433,1
0.675,0.961,0.57,2
0.917,0.038,0.596,4
0.862,0.274,0.404,1
0.066,0.749,0.392,2
0.937,0.2,0.587,3
0.925,0.226,0.422,1
0.45,0.086,0.294,0
0.513,0.639,0.82,2
0.481,0.757,0.738,2
0.044,0.851,0.462,2
0.968,0.032,0.555,4
0.906,0.181,0.413,1
0.957,0.221,0.432,1
0.56,0.689,0.831,2
0.743,1.007,0.633,2
0.503,0.621,0.836,2
0.725,0.95,0.462,2
0.488,0.043,0.249,0
0.688,1.014,0.554,2
0.888,0.009,0.583,4
0.996,0.247,0.481,3
0.948,0.236,0.461,1
0.061,0.745,0.313,2
0.142,0.819,0.455,2
0.865,0.088,0.594,4
0.868,0.225,0.477,1
0.703,0.921,0.556,2
0.901,0.227,0.5,1
0.4,0.114,0.332,0
0.117,0.76,0.412,2
0.714,0.99,0.537,2
0.041,0.833,0.502,2
0.167,0.764,0.377,2
0.415,0.121,0.306,0
0.353,0.042,0.254,0
0.528,0.085,0.288,0
0.951,0.024,0.552,4
0.515,0.081,0.337,0
0.946,0.197,0.481,1
0.53,0.1,0.303,0
0.541,0.084,0.28,0
0.385,0.186,0.231,0
0.386,0.047,0.308,0
0.695,1.075,0.529,2
0.915,0.034,0.616,4
0.955,0.191,0.52,3
0.896,0.229,0.476,1
0.732,1.016,0.544,2
0.502,0.07,0.307,0
0.718,0.98,0.491,2
0.054,0.829,0.513,2
1.024,0.191,0.492,3
0.41,0.039,0.275,0
0.458,0.699,0.822,2
0.523,0.063,0.213,0
0.312,0.045,0.3,0
0.491,0.679,0.796,2
0.905,0.171,0.426,1
0.927,0.038,0.614,4
0.329,0.014,0.237,0
0.923,0.002,0.557,4
0.912,0.031,0.67,4
0.392,0.03,0.337,0
0.758,0.996,0.59,2
0.112,0.738,0.411,2
0.889,0.274,0.454,1
0.091,0.746,0.538,2
0.722,0.971,0.619,2
0.424,0.124,0.236,0
0.348,0.065,0.294,0
1.058,0.306,0.623,3
0.509,0.633,0.778,2
0.469,0.079,0.25,0
0.873,0.981,0.553,2
0.085,0.733,0.44,2
0.923,0.251,0.537,3
0.946,0.114,0.415,1
0.757,0.968,0.563,2
0.921,0.019,0.621,4
0.763,0.975,0.545,2
0.93,0.231,0.652,3
0.071,0.799,0.394,2
0.533,0.7,0.844,2
0.867,0.245,0.398,1
0.894,0.036,0.618,4
0.365,0.144,0.301,0
0.948,0.215,0.537,3
0.083,0.79,0.405,2
0.873,0.172,0.456,1
0.999,0.325,0.599,3
0.516,0.066,0.257,0
0.526,0.069,0.253,0
0.534,0.08,0.261,0
0.46,0.652,0.77,2
0.104,0.784,0.45,2
0.463,0.661,0.875,2
0.417,0.051,0.281,0
0.098,0.803,0.423,2
0.489,0.671,0.762,2
0.145,0.804,0.39,2
0.955,0.17,0.393,1
0.479,0.117,0.25,0
0.797,0.979,0.537,2
0.653,0.966,0.512,2
0.513,0.705,0.754,2
0.784,1.028,0.5,2
0.552,0.075,0.326,0
0.503,0.094,0.275,0
0.719,1,0.61,2
0.939,0.017,0.574,4
0.515,0.631,0.751,2
0.555,0.667,0.789,2
0.915,0.271,0.423,1
0.089,0.816,0.468,2
0.418,0.708,0.828,2
0.568,0.701,0.786,2
0.913,0.233,0.55,3
0.418,0.051,0.267,0
0.306,0.005,0.261,0
0.367,0.047,0.331,0
0.933,0.226,0.538,3
0.384,0.07,0.326,0
0.974,0.271,0.537,3
0.367,0.159,0.312,0
0.514,0.088,0.324,0
0.967,0.209,0.568,3
0.914,0.046,0.604,4
0.528,0.714,0.728,2
0.49,0.104,0.265,0
0.924,0.263,0.547,3
0.776,1.004,0.629,2
0.715,1.008,0.59,2
0.879,0.033,0.51,4
0.511,0.69,0.848,2
0.735,0.964,0.589,2
0.527,0.727,0.813,2
0.496,0.003,0.283,0
0.365,0.029,0.187,0
0.402,0.07,0.302,0
0.074,0.821,0.384,2
0.047,0.8,0.427,2
0.708,0.949,0.553,2
0.75,0.983,0.484,2
0.073,0.758,0.447,2
0.724,1.001,0.566,2
0.818,0.037,0.574,4
0.366,0.08,0.271,0
0.455,0.088,0.342,0
0.424,0.046,0.249,0
0.545,0.013,0.273,0
0.733,1.078,0.586,2
0.712,0.983,0.509,2
0.134,0.775,0.414,2
0.595,0.021,0.339,0
0.072,0.774,0.414,2
0.876,0.262,0.506,1
0.894,0.043,0.613,4
0.491,0.739,0.792,2
0.992,0.049,0.639,4
0.468,0.048,0.217,0
0.532,0.067,0.271,0
0.71,0.914,0.558,2
0.398,0.753,0.888,2
0.488,0.672,0.829,2
0.839,0.11,0.539,4
0.305,0.101,0.308,0
0.554,0.064,0.206,0
0.132,0.786,0.417,2
0.546,0.657,0.821,2
0.477,0.056,0.271,0
0.076,0.84,0.358,2
0.959,0.218,0.462,1
0.964,0.193,0.522,3
0.372,0.063,0.285,0
0.892,0.239,0.43,1
0.695,0.958,0.606,2
0.486,0.057,0.295,0
0.942,0.164,0.462,1
0.724,0.935,0.519,2
0.69,1.014,0.506,2
0.444,0.737,0.794,2
0.343,0.075,0.202,0
1.043,0.203,0.603,3
0.471,0.652,0.803,2
0.461,0.67,0.863,2
0.502,0.06,0.286,0
0.937,0.026,0.636,4
0.052,0.778,0.399,2
0.992,0.264,0.48,3
0.973,0.187,0.532,3
0.42,0.13,0.284,0
1.047,0.174,0.51,3
0.927,0.03,0.574,4
0.061,0.728,0.379,2
1.018,0.21,0.556,3
0.406,0.033,0.229,0
0.379,0.072,0.261,0
0.421,0.053,0.324,0
0.935,0.225,0.426,1
0.482,0.672,0.749,2
0.915,0.015,0.636,4
0.461,0.689,0.746,2
0.986,0.224,0.519,3
0.945,0.162,0.571,3
0.934,0.17,0.561,3
0.704,0.934,0.553,2
0.494,0.702,0.856,2
0.875,0.181,0.49,1
0.722,0.989,0.583,2
0.657,0.896,0.527,2
0.962,0.238,0.437,1
0.489,0.678,0.835,2
0.884,0.075,0.699,4
0.511,0.639,0.8,2
0.954,0.209,0.636,3
0.838,0.225,0.445,1
0.45,0.075,0.27,0
0.346,0.011,0.318,0
0.916,0.31,0.466,1
0.75,0.985,0.535,2
0.908,0.208,0.529,3
0.37,0.14,0.345,0
0.899,0.256,0.449,1
0.019,0.81,0.44,2
0.707,0.983,0.512,2
0.127,0.815,0.475,2
0.528,0.049,0.221,0
0.937,0.022,0.605,4
0.967,0.038,0.646,4
0.086,0.823,0.449,2
0.787,0.966,0.575,2
0.933,0.253,0.417,1
0.037,0.755,0.456,2
0.545,0.689,0.74,2
0.466,0.668,0.877,2
0.944,0.225,0.408,1
0.457,0.693,0.851,2
0.365,0.094,0.29,0
0.494,0.119,0.323,0
0.507,0.661,0.827,2
0.386,0.074,0.214,0
0.938,0.019,0.57,4
0.49,0.039,0.249,0
0.51,0.061,0.253,0
1.003,0.265,0.604,3
0.82,0.269,0.482,1
0.698,1.018,0.544,2
0.501,0.651,0.86,2
0.888,0.239,0.529,3
0.469,0.096,0.265,0
0.034,0.778,0.428,2
0.806,0.938,0.564,2
0.476,0.715,0.785,2
0.078,0.824,0.4,2
0.363,0.078,0.359,0
0.974,0.217,0.551,3
0.772,0.993,0.522,2
0.865,0.196,0.51,1
0.131,0.798,0.384,2
0.981,0.178,0.577,3
0.464,0.065,0.222,0
0.317,0.071,0.282,0
0.547,0.662,0.827,2
0.902,0.029,0.651,4
0.476,0.011,0.364,0
0.768,0.937,0.587,2
0.951,0.187,0.578,3
0.704,0.998,0.5,2
0.457,0.662,0.819,2
0.942,0.085,0.623,4
0.476,0.037,0.318,0
0.388,0.129,0.305,0
0.461,0.137,0.297,0
0.898,0.216,0.48,1
0.054,0.78,0.472,2
0.903,0.172,0.555,3
0.486,0.077,0.23,0
0.075,0.733,0.469,2
0.889,0.007,0.547,4
0.93,0.033,0.587,4
0.412,0.112,0.266,0
0.45,0.049,0.304,0
0.368,0.07,0.23,0
0.834,0.186,0.461,1
0.435,0.661,0.796,2
0.955,0.023,0.558,4
0.491,0.71,0.798,2
0.064,0.772,0.411,2
0.513,0.696,0.819,2
0.38,0.064,0.3,0
0.899,0.331,0.548,3
0.518,0.106,0.255,0
0.991,0.21,0.539,3
0.561,0.692,0.867,2
0.303,0.053,0.296,0
0.673,0.941,0.522,2
0.959,0.022,0.65,4
0.527,0.682,0.758,2
0.036,0.784,0.356,2
0.516,0.63,0.837,2
0.054,0.816,0.482,2
0.694,1.008,0.462,2
0.551,0.135,0.36,0
0.929,0.218,0.438,1
0.914,0.016,0.67,4
0.506,0.639,0.842,2
0.519,0.699,0.829,2
0.043,0.767,0.438,2
0.073,0.809,0.471,2
0.555,0.032,0.189,0
0.356,0.068,0.262,0
0,0.821,0.452,2
0.487,0.654,0.798,2
0.104,0.815,0.437,2
0.433,0.143,0.226,0
0.477,0.093,0.313,0
0.063,0.779,0.455,2
0.545,0.035,0.312,0
0.947,0.216,0.515,3
1.013,0.182,0.505,3
0.466,0.043,0.259,0
0.962,0.049,0.635,4
0.107,0.778,0.4,2
0.505,0.077,0.267,0
0.997,0.002,0.624,4
0.925,0.283,0.578,3
0.527,0.094,0.271,0
0.959,0.252,0.463,1
0.92,0.002,0.648,4
0.84,0.218,0.46,1
0.469,0.002,0.249,0
0.9,0.156,0.64,3
0.531,0.619,0.823,2
0.867,0.041,0.561,4
0.43,0.67,0.804,2
0.902,0.055,0.637,4
0.098,0.709,0.385,2
0.909,0.022,0.495,4
0.963,0.09,0.662,4
0.692,0.941,0.485,2
0.834,0.118,0.595,4
0.526,0.688,0.799,2
0.43,0.044,0.221,0
0.534,0.676,0.816,2
0.53,0.067,0.304,0
0.358,0.081,0.264,0
0.087,0.835,0.452,2
0.878,0.024,0.643,4
1.019,0.276,0.59,3
0.481,0.047,0.3,0
0.524,0.718,0.814,2
0.707,0.913,0.509,2
0.477,0.654,0.802,2
0.015,0.807,0.378,2
0.442,0.627,0.761,2
0.492,0.699,0.812,2
0.507,0.075,0.33,0
0.938,0.28,0.488,3
0.966,0.226,0.548,3
0.116,0.792,0.483,2
0.961,0.267,0.547,3
0.342,0.039,0.327,0
0.938,0.004,0.575,4
0.082,0.708,0.438,2
0.972,0.2,0.535,3
0.988,0.219,0.578,3
0.455,0.598,0.781,2
0.09,0.835,0.415,2
0.716,0.914,0.524,2
0.947,0.115,0.587,4
0.912,0.247,0.429,1
0.91,0.076,0.54,4
0.485,0.021,0.259,0
0.096,0.739,0.452,2
0.968,0.004,0.597,4
0.906,0.029,0.657,4
0.354,0.127,0.316,0
0.691,1.065,0.601,2
0.099,0.805,0.446,2
0.71,1.036,0.568,2
0.427,0.643,0.774,2
0.893,0.224,0.527,3
0.073,0.866,0.416,2
0.451,0.088,0.342,0
0.397,0.025,0.276,0
0.958,0.292,0.508,3
0.093,0.74,0.417,2
0.497,0.046,0.26,0
0.93,0.316,0.564,3
0.454,0.67,0.779,2
0.468,0.602,0.807,2
0.926,0.041,0.6,4
0.944,0.193,0.556,3
0.954,0.051,0.65,4
0.41,0.086,0.28,0
0.9,0.206,0.391,1
0.056,0.827,0.497,2
0.555,0.005,0.282,0
0.968,0.044,0.624,4
0.497,0.041,0.269,0
0.7,0.983,0.585,2
0.718,0.972,0.568,2
0.93,0.249,0.551,3
0.475,0.024,0.228,0
0.085,0.798,0.383,2
0.905,0.058,0.558,4
0.148,0.813,0.329,2
0.477,0.061,0.268,0
0.086,0.763,0.466,2
0.067,0.783,0.424,2
0.908,0.233,0.495,1
0.521,0.144,0.242,0
0.054,0.838,0.442,2
0.967,0.023,0.58,4
0.909,0.182,0.436,1
0.969,0.282,0.506,3
0.762,0.961,0.498,2
0.715,0.941,0.596,2
0.009,0.743,0.431,2
0.701,1.017,0.558,2
0.749,0.948,0.592,2
0.961,0.241,0.569,3
0.027,0.758,0.463,2
0.461,0.632,0.799,2
0.462,0.094,0.308,0
0.003,0.748,0.431,2
0.698,0.957,0.592,2
0.95,0.252,0.542,3
0.95,0.066,0.579,4
0.411,0.048,0.201,0
0.895,0.275,0.447,1
0.691,0.942,0.576,2
0.939,0.246,0.592,3
0.331,0.034,0.273,0
0.549,0.036,0.227,0
0.733,0.977,0.474,2
0.865,0.192,0.508,1
0.915,0.243,0.425,1
0.921,0.253,0.595,3
0.557,0.617,0.866,2
0.884,0.176,0.449,1
0.025,0.824,0.451,2
0.409,0.065,0.284,0
0.939,0.046,0.566,4
0.502,0.038,0.311,0
0.892,0.177,0.489,1
0.935,0.213,0.459,1
0.9,0.041,0.611,4
0.977,0.146,0.526,3
0.56,0.094,0.237,0
0.758,0.997,0.521,2
0.533,0.727,0.74,2
0.462,0.692,0.747,2
0.4,0.048,0.289,0
0.988,0.252,0.59,3
0.084,0.828,0.422,2
0.892,0.221,0.563,3
0.958,0.07,0.615,4
0.531,0.712,0.791,2
1.006,0.205,0.448,1
0.469,0.018,0.277,0
0.104,0.827,0.533,2
0.02,0.77,0.446,2
0.384,0.088,0.211,0
0.352,0.077,0.341,0
0.692,0.98,0.535,2
0.9,0.079,0.667,4
