x,y,z,cluster
0.484,0.664,0.79,4
0.735,0.939,0.463,1
0.429,0.07,0.23,2
0.343,0.115,0.302,2
0.769,0.968,0.52,0
0.66,0.634,0.806,4
0.012,0.75,0.383,3
0.051,0.717,0.433,3
0.528,0.67,0.761,4
0.491,0.031,0.231,2
0.462,0.643,0.834,4
0.39,0.144,0.295,2
0.748,0.988,0.542,1
0.491,0.67,0.735,4
0.527,0.022,0.259,2
0.37,0.052,0.31,2
0.056,0.792,0.483,3
0.314,0.061,0.32,2
0.386,0.036,0.329,2
0.49,0.71,0.812,4
0.347,0.002,0.202,2
0.091,0.794,0.456,3
0.662,0.976,0.476,1
0.313,0.116,0.272,2
0.422,0.123,0.33,2
0.403,0.015,0.305,2
0.104,0.786,0.544,3
0.52,0.663,0.765,4
0.52,0.078,0.318,2
0.414,0.1,0.361,2
0.092,0.707,0.416,3
0.414,0.104,0.237,2
0.506,0.109,0.259,2
0.795,1.01,0.619,0
0.505,0.641,0.83,4
0.438,0.69,0.846,4
0.539,0.654,0.855,4
0.444,0.068,0.344,2
0.482,0.008,0.198,2
0.474,0.11,0.282,2
0.529,0.656,0.796,4
0.576,0.705,0.831,4
0.758,0.995,0.539,1
0.728,1.051,0.469,1
0.514,0.009,0.181,2
0.052,0.815,0.453,3
0.126,0.833,0.448,3
0.534,0.619,0.839,4
0.677,1.017,0.584,1
0.403,0.096,0.327,2
0.34,0.154,0.199,2
0.767,0.97,0.537,0
0.662,0.975,0.556,1
0.451,0.653,0.8,4
0.726,0.946,0.53,0
0.666,1.032,0.531,1
0.492,0.749,0.782,4
0.088,0.806,0.42,3
0.702,0.945,0.557,0
0.466,0.706,0.855,4
0.417,0.073,0.289,2
0.732,0.957,0.464,1
0.532,0.709,0.848,4
0.671,0.871,0.525,0
0.721,0.962,0.561,0
0.525,0.728,0.84,4
0.38,0.082,0.254,2
0.733,0.97,0.528,0
0.113,0.795,0.38,3
0.392,0.035,0.287,2
0.423,0.066,0.275,2
0.025,0.817,0.453,3
0.755,0.952,0.479,1
0.089,0.773,0.495,3
0.428,0.049,0.274,2
0.367,0.037,0.234,2
0.506,0.798,0.798,4
0.457,0.019,0.298,2
0.04,0.77,0.369,3
0.531,0.671,0.815,4
0.505,0.71,0.794,4
0.091,0.805,0.409,3
0.76,1.055,0.598,1
0.424,0.064,0.388,2
0.552,0.017,0.295,2
0.107,0.813,0.464,3
0.661,0.959,0.486,1
0.543,0.641,0.761,4
0.335,0.041,0.281,2
0.525,0.057,0.223,2
0.443,0.098,0.252,2
0.128,0.832,0.413,3
0.472,0.03,0.308,2
0.466,0.623,0.804,4
0.492,0.097,0.286,2
0.511,0.648,0.788,4
0.544,0.658,0.811,4
0.443,0.012,0.253,2
0.492,0.017,0.321,2
0.744,0.984,0.468,1
0.471,0.69,0.838,4
0.07,0.753,0.51,3
0.489,0.009,0.296,2
0.489,0.624,0.8,4
0.512,0.094,0.285,2
0.069,0.76,0.385,3
0.517,0.644,0.803,4
0.508,0.696,0.829,4
0.084,0.797,0.458,3
0.341,0.057,0.295,2
0.137,0.699,0.461,3
0.716,0.954,0.567,0
0.052,0.753,0.476,3
0.445,0.057,0.272,2
0.451,0.746,0.789,4
0.438,0.688,0.826,4
0.483,0.669,0.761,4
0.363,0.149,0.247,2
0.055,0.857,0.317,3
0.46,0.702,0.749,4
0.507,0.673,0.846,4
0.661,1.035,0.47,1
0.45,0.098,0.266,2
0.481,0.093,0.235,2
0.345,0.038,0.252,2
0.489,0.096,0.331,2
0.696,0.945,0.537,0
0.056,0.861,0.464,3
0.496,0.691,0.877,4
0.726,1.012,0.526,1
0.79,1.039,0.61,0
0.441,0.069,0.277,2
0.123,0.795,0.453,3
0.524,0.648,0.872,4
0.374,0.064,0.299,2
0.539,0.095,0.274,2
0.373,0.068,0.297,2
0.046,0.789,0.441,3
0.394,0.093,0.304,2
0.549,0.078,0.271,2
0.347,0.051,0.239,2
0.023,0.729,0.46,3
0.457,0.082,0.241,2
0.38,0.013,0.262,2
0.552,0.712,0.794,4
0.695,0.985,0.555,1
0.67,1.021,0.544,1
0.478,0.078,0.254,2
0.5,0.057,0.235,2
0.046,0.755,0.506,3
0.483,0.095,0.301,2
0.52,0.044,0.3,2
0.059,0.745,0.383,3
0.485,0.052,0.232,2
0.527,0.043,0.275,2
0.518,0.735,0.812,4
0.13,0.823,0.428,3
0.507,0.66,0.845,4
0.36,0.071,0.281,2
0.468,0.082,0.304,2
0.657,1.001,0.484,1
0.484,0.665,0.783,4
0.741,1.036,0.474,1
0.086,0.812,0.449,3
0.72,1.051,0.497,1
0.467,0.143,0.239,2
0.489,0.073,0.23,2
0.074,0.797,0.45,3
0.433,0.609,0.833,4
0.365,0.031,0.29,2
0.491,0.681,0.802,4
0.655,0.991,0.502,1
0.099,0.714,0.472,3
0.531,0.631,0.813,4
0.434,0.647,0.776,4
0.489,0.717,0.858,4
0.461,0.666,0.864,4
0.539,0.707,0.791,4
0.102,0.749,0.537,3
0.455,0.178,0.283,2
0.526,0.07,0.31,2
0.513,0.783,0.765,4
0.728,1.033,0.562,1
0.479,0.701,0.802,4
0.418,0.108,0.313,2
0.724,0.99,0.476,1
0.465,0.658,0.8,4
0.536,0.686,0.807,4
0.445,0.702,0.799,4
0.482,0.65,0.741,4
0.684,1.012,0.512,1
0.551,0.092,0.302,2
0.379,0.125,0.265,2
0.748,0.926,0.523,0
0.037,0.748,0.435,3
0.707,1.018,0.542,1
0.77,0.984,0.52,1
0.486,0.73,0.852,4
0.513,0.129,0.339,2
0.719,0.994,0.544,1
0.408,0.077,0.313,2
0.105,0.807,0.386,3
0.367,0.025,0.248,2
0.765,0.965,0.55,0
0.702,0.988,0.493,1
0.483,0.635,0.85,4
0.533,0.698,0.871,4
0.46,0.774,0.767,4
0.425,0.105,0.339,2
0.457,0.167,0.304,2
0.405,0.105,0.309,2
0.698,0.958,0.576,0
0.724,0.913,0.487,0
0.527,0.037,0.27,2
0.086,0.754,0.379,3
0.078,0.754,0.381,3
0.39,0.088,0.313,2
0.495,0.065,0.24,2
0.533,0.643,0.765,4
0.374,0.136,0.264,2
0.53,0.042,0.27,2
0.52,0.041,0.17,2
0.42,0.061,0.26,2
0.48,0.045,0.317,2
0.341,0.018,0.336,2
0.363,0.158,0.335,2
0.378,0,0.287,2
0.761,0.989,0.557,0
0.48,0.66,0.783,4
0.468,0.69,0.888,4
0.492,0.65,0.811,4
0.41,0.036,0.292,2
0.737,1.019,0.511,1
0.345,0.066,0.219,2
0.348,0.093,0.362,2
0.139,0.789,0.462,3
0.72,0.968,0.525,1
0.521,0.739,0.736,4
0.355,0.009,0.296,2
0.058,0.787,0.42,3
0.127,0.839,0.403,3
0.403,0.049,0.244,2
0.347,0.079,0.216,2
0.701,0.993,0.434,1
0.468,0.007,0.21,2
0.453,0.69,0.9,4
0.471,0.731,0.794,4
0.033,0.863,0.468,3
0.769,1.071,0.55,1
0.763,0.937,0.577,0
0.101,0.767,0.45,3
0.559,0.111,0.2,2
0.453,0.156,0.277,2
0.472,0.068,0.325,2
0.029,0.72,0.398,3
0.525,0.036,0.232,2
0.602,0.661,0.747,4
0.537,0.055,0.257,2
0.751,0.999,0.513,1
0.48,0.11,0.262,2
0.381,0.107,0.261,2
0.324,0.133,0.228,2
0.067,0.767,0.447,3
0.68,0.986,0.626,0
0.731,0.969,0.502,1
0.52,0.718,0.751,4
0.73,1.032,0.443,1
0.491,0.032,0.343,2
0.103,0.89,0.464,3
0.113,0.852,0.46,3
0.171,0.826,0.413,3
0.375,0.06,0.209,2
0.467,0.125,0.22,2
0.149,0.729,0.471,3
0.461,0.08,0.274,2
0.705,0.957,0.477,1
0.561,0.746,0.822,4
0.071,0.834,0.559,3
0.43,0.078,0.342,2
0.56,0.09,0.236,2
0.567,0.102,0.256,2
0.746,0.939,0.602,0
0.343,0.067,0.265,2
0.769,1.011,0.524,1
0.055,0.775,0.435,3
0.071,0.824,0.425,3
0.737,1.008,0.558,1
0.368,0.124,0.284,2
0.761,0.962,0.462,1
0.537,0.019,0.269,2
0.367,0.04,0.294,2
0.677,0.943,0.542,0
0.417,0.071,0.222,2
0.363,0.127,0.314,2
0.513,0.046,0.373,2
0.51,0.011,0.27,2
0.493,0.041,0.218,2
0.089,0.715,0.427,3
0.087,0.81,0.404,3
0.679,1.006,0.492,1
0.032,0.778,0.479,3
0.076,0.782,0.358,3
0.571,0.761,0.805,4
0.33,0.114,0.266,2
0.486,0.664,0.719,4
0.66,0.983,0.582,0
0.366,0.094,0.293,2
0.139,0.754,0.452,3
0.541,0.084,0.247,2
0.414,0.1,0.303,2
0.769,1.034,0.546,1
0.377,0.039,0.287,2
0.317,0.012,0.266,2
0.505,0.028,0.189,2
0.799,1.021,0.629,0
0.049,0.763,0.42,3
0.479,0.051,0.261,2
0.713,1.084,0.481,1
0.719,0.991,0.604,0
0.698,0.991,0.463,1
0.455,0.051,0.291,2
0.397,0.128,0.259,2
0.405,0.09,0.3,2
0.491,0.07,0.17,2
0.676,0.933,0.562,0
0.075,0.8,0.442,3
0.692,1.003,0.492,1
0.532,0.037,0.259,2
0.537,0.65,0.787,4
0.491,0.037,0.275,2
0.469,0.007,0.219,2
0.38,0.025,0.306,2
0.476,0.115,0.263,2
0.061,0.809,0.469,3
0.507,0.062,0.236,2
0.488,0.065,0.312,2
0.43,0.049,0.262,2
0.003,0.815,0.428,3
0.647,0.999,0.577,1
0.152,0.686,0.492,3
0.515,0.672,0.741,4
0.542,0.706,0.825,4
0.316,0.06,0.191,2
0.09,0.803,0.421,3
0.748,0.974,0.492,1
0.114,0.811,0.426,3
0.11,0.709,0.489,3
0.373,0.106,0.327,2
0.312,0.158,0.297,2
0.466,0.649,0.806,4
0.739,0.946,0.52,0
0.515,0.635,0.786,4
0.475,0.037,0.234,2
0.006,0.793,0.417,3
0.395,0.06,0.221,2
0.72,0.976,0.528,1
0.458,0.052,0.301,2
0.502,0.641,0.744,4
0.698,0.951,0.587,0
0.165,0.819,0.505,3
0.35,0.09,0.32,2
0.052,0.754,0.441,3
0.112,0.763,0.414,3
0.083,0.839,0.387,3
0.414,0.001,0.271,2
0.497,0.114,0.263,2
0.555,0.115,0.283,2
0.394,0.674,0.77,4
0.402,0.115,0.254,2
0.092,0.743,0.416,3
0.521,0.087,0.26,2
0.301,0.02,0.226,2
0.731,1.049,0.554,1
0.465,0.119,0.163,2
0.55,0.794,0.769,4
0.477,0.715,0.843,4
0.03,0.781,0.432,3
0.461,0.672,0.768,4
0.384,0.016,0.277,2
0.021,0.836,0.466,3
0.449,0.033,0.31,2
0.693,0.927,0.508,0
0.391,0.088,0.266,2
0.791,0.958,0.541,0
0.453,0.082,0.286,2
0.433,0.03,0.319,2
0.546,0.699,0.776,4
0.533,0.667,0.777,4
0.785,0.998,0.581,0
0.458,0.144,0.21,2
0.558,0.024,0.316,2
0.561,0.107,0.274,2
0.502,0.747,0.816,4
0.098,0.774,0.41,3
0.474,0.101,0.284,2
0.374,0.031,0.256,2
0.359,0.069,0.187,2
0.095,0.685,0.458,3
0.755,0.952,0.582,0
0.653,0.943,0.614,0
0.469,0.048,0.292,2
0.446,0.082,0.332,2
0.031,0.735,0.507,3
0.75,1.045,0.567,1
0.484,0.006,0.355,2
0.545,0.742,0.825,4
0.484,0.05,0.302,2
0.081,0.778,0.433,3
0.722,0.979,0.534,1
0.396,0.057,0.251,2
0.51,0.751,0.851,4
0.388,0.032,0.302,2
0.523,0.744,0.848,4
0.394,0.071,0.291,2
0.356,0.076,0.311,2
0.423,0.078,0.335,2
0.128,0.681,0.457,3
0.635,0.058,0.262,2
0.037,0.805,0.356,3
0.585,0.699,0.713,4
0.41,0.086,0.383,2
0.099,0.784,0.401,3
0.494,0.715,0.854,4
0.449,0.61,0.809,4
0.709,0.995,0.534,1
0.444,0.074,0.292,2
0.483,0.028,0.249,2
0.755,0.965,0.556,0
0.453,0.762,0.825,4
0.777,0.938,0.553,0
0.353,0.076,0.274,2
0.762,1.01,0.521,1
0.738,0.93,0.491,0
0.065,0.793,0.498,3
0.076,0.824,0.499,3
0.357,0.119,0.286,2
0.485,0.614,0.757,4
0.578,0.684,0.843,4
0.483,0.037,0.284,2
0.053,0.757,0.484,3
0.117,0.75,0.397,3
0.818,0.964,0.603,0
0.06,0.824,0.385,3
0.518,0.047,0.287,2
0.494,0.089,0.294,2
0.541,0.687,0.725,4
0.7,0.954,0.54,0
0.509,0.72,0.799,4
0.506,0.651,0.734,4
0.334,0.096,0.338,2
0.424,0.02,0.254,2
0.446,0.077,0.286,2
0.36,0.178,0.306,2
0.352,0.067,0.309,2
0.544,0.073,0.351,2
0.646,1.065,0.533,1
0.483,0.099,0.306,2
0.504,0.123,0.26,2
0.695,0.892,0.55,0
0.744,0.991,0.556,0
0.403,0.091,0.267,2
0.335,0.133,0.231,2
0.489,0.06,0.268,2
0.486,0.048,0.277,2
0.521,0.159,0.277,2
0.483,0.008,0.209,2
0.384,0.08,0.278,2
0.469,0.038,0.228,2
0.493,0.076,0.232,2
0.414,0.091,0.312,2
0.069,0.77,0.373,3
0.474,0.68,0.855,4
0.139,0.759,0.356,3
0.498,0.639,0.78,4
0.413,0.67,0.808,4
0.742,0.923,0.55,0
0.104,0.685,0.498,3
0.298,0.01,0.308,2
0.531,0.63,0.897,4
0.359,0.125,0.336,2
0.354,0.08,0.341,2
0.465,0.032,0.263,2
0.525,0.022,0.286,2
0.448,0.649,0.808,4
0.386,0.051,0.301,2
0.737,0.967,0.555,0
0.476,0.726,0.816,4
0.355,0.053,0.263,2
0.338,0.166,0.374,2
0.479,0.065,0.291,2
0.45,0.027,0.303,2
0.5,0.072,0.27,2
0.374,0.029,0.316,2
0.742,0.935,0.487,0
0.137,0.732,0.427,3
0.38,0.039,0.298,2
0.515,0.655,0.777,4
0.767,0.941,0.553,0
0.711,1.054,0.589,1
0.493,0.632,0.809,4
0.402,0.1,0.223,2
0.526,0.7,0.804,4
0.477,0.611,0.841,4
0.777,0.932,0.494,0
0.41,0.084,0.265,2
0.749,0.959,0.578,0
0.676,0.966,0.616,0
0.051,0.724,0.427,3
0.492,0.084,0.335,2
0.732,1.026,0.607,0
0.495,0.115,0.252,2
0.497,0.085,0.277,2
0.485,0.012,0.225,2
0.753,1.012,0.553,1
0.673,0.98,0.567,0
0.085,0.807,0.39,3
0.583,0.656,0.783,4
0.463,0.689,0.78,4
0.721,1.01,0.512,1
0.76,0.999,0.497,1
0.731,1,0.486,1
0.724,0.991,0.558,0
0.548,0.69,0.819,4
0.072,0.797,0.452,3
0.096,0.796,0.377,3
0.127,0.721,0.478,3
0.092,0.698,0.391,3
0.531,0.055,0.247,2
0.089,0.733,0.429,3
0.69,0.936,0.518,0
0.706,0.945,0.489,1
0.513,0.62,0.826,4
0.711,0.965,0.571,0
0.473,0.069,0.191,2
0.061,0.802,0.454,3
0.491,0.097,0.307,2
0.47,0.034,0.353,2
0.684,0.896,0.627,0
0.348,0.068,0.345,2
0.654,1.007,0.559,1
0.504,0.023,0.298,2
0.463,0.12,0.277,2
0.402,0.07,0.248,2
0.346,0.093,0.276,2
0.746,0.917,0.591,0
0.488,0.071,0.237,2
0.356,0.059,0.315,2
0.46,0.002,0.287,2
0.491,0.678,0.823,4
0.675,0.936,0.503,0
0.143,0.759,0.43,3
0.423,0.043,0.298,2
0.764,0.953,0.539,0
0.53,0.715,0.822,4
0.356,0.011,0.294,2
0.474,0.705,0.785,4
0.391,0.092,0.246,2
0.51,0.093,0.254,2
0.478,0.686,0.849,4
0.549,0.631,0.781,4
0.773,0.927,0.575,0
0.712,1.004,0.543,1
0.748,1.001,0.543,1
0.517,0.698,0.812,4
0.553,0.652,0.785,4
0.366,0.088,0.134,2
0.395,0.057,0.306,2
0.495,0.071,0.305,2
0.546,0.019,0.22,2
0.527,0.688,0.832,4
0.045,0.813,0.416,3
0.47,0.117,0.209,2
0.331,0.054,0.251,2
0.099,0.766,0.478,3
0.383,0.055,0.245,2
0.106,0.724,0.459,3
0.631,0.979,0.475,1
0.749,0.964,0.57,0
0.745,0.985,0.561,0
0.305,0.066,0.288,2
0.473,0.652,0.864,4
0.531,0.082,0.266,2
0.365,0.055,0.29,2
0.474,0.028,0.302,2
0.599,0.091,0.25,2
0.654,0.949,0.614,0
0.374,0.075,0.301,2
0.057,0.81,0.418,3
0.502,0.136,0.252,2
0.531,0.021,0.32,2
0.326,0.087,0.241,2
0.355,0.05,0.268,2
0.037,0.761,0.448,3
0.497,0.643,0.804,4
0.473,0.66,0.87,4
0.382,0.04,0.332,2
0.726,0.972,0.561,0
0.645,0.956,0.499,1
0.561,0.694,0.809,4
0.805,0.966,0.516,0
0.53,0.655,0.872,4
0.435,0.108,0.247,2
0.524,0.112,0.301,2
0.459,0.026,0.306,2
0.329,0.059,0.31,2
0.396,0.135,0.345,2
0.368,0.087,0.231,2
0.503,0.088,0.232,2
0.062,0.785,0.467,3
0.334,0.095,0.23,2
0.061,0.756,0.437,3
0.013,0.738,0.452,3
0.367,0.039,0.333,2
0.661,0.995,0.557,1
0.462,0.022,0.224,2
0.379,0.078,0.31,2
0.783,1.005,0.507,1
0.49,0.031,0.232,2
0.524,0.61,0.82,4
0.439,0.719,0.859,4
0.305,0.042,0.319,2
0.564,0.755,0.762,4
0.027,0.772,0.466,3
0.054,0.811,0.503,3
0.522,0.088,0.336,2
0.519,0.671,0.8,4
0.504,0.646,0.831,4
0.42,0.689,0.812,4
0.526,0.702,0.901,4
0.101,0.761,0.442,3
0.71,1.04,0.523,1
0.741,0.979,0.55,0
0.708,0.948,0.513,0
0.104,0.773,0.49,3
0.78,0.969,0.561,0
0.134,0.801,0.481,3
0.709,1.019,0.498,1
0.069,0.774,0.464,3
0.742,0.982,0.629,0
0.755,0.915,0.557,0
0.526,0.144,0.267,2
0.56,0.677,0.789,4
0.501,0.719,0.872,4
0.36,0.07,0.318,2
0.539,0.701,0.771,4
0.492,0.633,0.839,4
0.041,0.819,0.495,3
0.649,0.707,0.779,4
0.506,0.107,0.326,2
0.573,0.083,0.262,2
0.541,0.095,0.273,2
0.52,0.666,0.751,4
0.072,0.753,0.448,3
0.159,0.759,0.488,3
0.43,0.068,0.263,2
0.562,0.696,0.827,4
0.719,1.012,0.51,1
0.465,0.699,0.757,4
0.411,0.033,0.231,2
0.432,0.07,0.265,2
0.665,0.955,0.534,0
0.452,0.711,0.819,4
0.723,1.062,0.527,1
0.402,0.068,0.313,2
0.505,0.687,0.793,4
0.258,0.053,0.281,2
0.524,0.127,0.279,2
0.46,0.09,0.339,2
0.495,0.104,0.222,2
0.172,0.797,0.426,3
0.533,0.731,0.748,4
0.48,0.778,0.811,4
0.551,0.666,0.812,4
0.443,0.686,0.826,4
0.522,0.124,0.206,2
0.787,0.97,0.466,1
0.11,0.801,0.43,3
0.415,0.05,0.306,2
0.378,0.053,0.292,2
0.549,0.598,0.844,4
0.51,0.082,0.341,2
0.067,0.768,0.473,3
0.152,0.811,0.487,3
0.494,0.729,0.752,4
0.532,0.737,0.872,4
0.056,0.797,0.453,3
0.499,0.068,0.266,2
0.737,1.015,0.53,1
0.316,0.129,0.282,2
0.734,0.935,0.487,0
0.501,0.119,0.361,2
0.719,1.045,0.546,1
0.479,0.739,0.853,4
0.766,1.048,0.527,1
0.431,0.049,0.202,2
0.727,1.031,0.584,1
0.706,0.973,0.578,0
0.519,0.7,0.799,4
0.567,0.709,0.78,4
0.337,0.041,0.294,2
0.503,0.04,0.247,2
0.399,0.08,0.336,2
0.483,0.065,0.299,2
0.06,0.777,0.401,3
0.778,0.934,0.533,0
0.495,0.08,0.285,2
0.709,1.035,0.617,1
0.759,0.852,0.57,0
0.54,0.722,0.814,4
0.098,0.71,0.471,3
0.079,0.766,0.436,3
0.77,1.003,0.55,1
0.106,0.748,0.405,3
0.706,1.017,0.602,0
0.471,0.598,0.753,4
0.487,0.632,0.825,4
0.152,0.777,0.482,3
0.556,0.056,0.25,2
0.497,0.63,0.846,4
0.663,0.964,0.507,1
0.464,0.062,0.22,2
0.064,0.799,0.43,3
0.558,0.094,0.324,2
0.603,0.069,0.282,2
0.419,0.107,0.271,2
0.718,0.947,0.541,0
0.066,0.813,0.417,3
0.37,0.033,0.289,2
0.412,0.02,0.328,2
0.504,0.094,0.271,2
0.793,0.992,0.601,0
0.69,0.922,0.621,0
0.52,0.713,0.853,4
0.742,0.946,0.603,0
0.425,0.111,0.28,2
0.157,0.783,0.47,3
0.397,0.025,0.306,2
0.526,0.613,0.738,4
0.33,0.065,0.249,2
0.424,0.649,0.713,4
0.469,0.156,0.259,2
0.731,0.975,0.556,0
0.478,0.054,0.217,2
0.544,0.665,0.767,4
0.488,0.139,0.221,2
0.415,0.034,0.267,2
0.428,0.141,0.264,2
0.525,0.693,0.738,4
0.455,0.036,0.261,2
0.761,0.937,0.567,0
0.664,0.931,0.564,0
0.028,0.823,0.502,3
0.494,0.096,0.281,2
0.296,0.123,0.287,2
0.429,0.587,0.757,4
0.161,0.787,0.424,3
0.476,0.037,0.211,2
0.089,0.737,0.412,3
0.732,1.021,0.566,1
0.482,0.634,0.825,4
0.082,0.797,0.458,3
0.378,0.112,0.281,2
0.74,1.02,0.555,1
0.577,0.08,0.311,2
0.518,0.008,0.262,2
0.369,0.035,0.272,2
0.378,0.028,0.316,2
0.116,0.761,0.458,3
0.116,0.779,0.469,3
0.729,0.925,0.567,0
0.344,0.089,0.281,2
0.302,0.114,0.311,2
0.492,0.672,0.743,4
0.09,0.796,0.499,3
0.461,0.114,0.239,2
0.498,0.038,0.221,2
0.101,0.81,0.419,3
0.378,0.088,0.353,2
0.46,0.622,0.803,4
0.456,0.06,0.218,2
0.576,0.679,0.831,4
0.748,0.935,0.498,0
0.544,0.134,0.244,2
0.679,1.025,0.523,1
0.06,0.719,0.411,3
0.119,0.782,0.434,3
0.504,0.728,0.833,4
0.667,0.96,0.548,0
0.384,0.127,0.243,2
0.438,0.131,0.343,2
0.533,0.674,0.795,4
0.549,0.089,0.291,2
0.377,0.102,0.262,2
0.532,0.05,0.297,2
0.075,0.768,0.478,3
0.491,0.645,0.775,4
0.404,0.063,0.283,2
0.457,0.662,0.753,4
0.495,0.123,0.247,2
0.04,0.691,0.46,3
0.024,0.785,0.551,3
0.069,0.754,0.42,3
0.457,0.023,0.261,2
0.394,0.083,0.37,2
0.764,1.017,0.513,1
0.531,0.641,0.729,4
0.455,0.063,0.217,2
0.05,0.795,0.483,3
0.477,0.105,0.202,2
0.514,0.114,0.328,2
0.779,0.946,0.617,0
0.079,0.751,0.516,3
0.096,0.809,0.511,3
0.002,0.759,0.494,3
0.518,0.735,0.741,4
0.387,0.043,0.291,2
0.717,0.931,0.573,0
0.485,0.051,0.305,2
0.511,0.072,0.263,2
0.06,0.788,0.396,3
0.712,0.956,0.545,0
0.755,0.987,0.551,0
0.491,0.089,0.23,2
0.506,0.067,0.334,2
0.709,0.961,0.54,0
0.5,0.716,0.903,4
0.437,0.673,0.832,4
0.38,0.081,0.277,2
0.035,0.766,0.482,3
0.513,0.647,0.818,4
0.475,0.652,0.788,4
0.685,0.907,0.521,0
0.507,0.038,0.221,2
0.485,0.078,0.298,2
0.516,0.694,0.785,4
0.056,0.788,0.504,3
0.523,0.095,0.231,2
0.465,0.1,0.194,2
0.399,0.679,0.836,4
0.527,0.687,0.806,4
0.004,0.775,0.472,3
0.692,0.974,0.519,1
0.707,1.036,0.532,1
0.456,0.645,0.785,4
0.402,0.017,0.23,2
0.548,0.71,0.805,4
0.464,0.681,0.842,4
0.505,0.087,0.274,2
0.093,0.748,0.46,3
0.51,0.681,0.868,4
0.028,0.759,0.455,3
0.446,0.072,0.301,2
0.501,0.702,0.839,4
0.482,0.056,0.326,2
0.017,0.856,0.447,3
0.472,0.077,0.247,2
0.461,0.118,0.262,2
0.484,0.099,0.274,2
0.312,0.098,0.286,2
0.116,0.776,0.43,3
0.077,0.817,0.458,3
0.551,0.626,0.77,4
0.686,0.984,0.513,1
0.426,0.012,0.34,2
0.048,0.764,0.389,3
0.507,0.638,0.78,4
0.54,0.766,0.675,4
0.527,0.121,0.233,2
0.399,0.003,0.257,2
0.481,0.027,0.244,2
0.794,1.032,0.495,1
0.495,0.666,0.825,4
0.717,0.984,0.594,0
0.764,0.967,0.525,0
0.059,0.736,0.435,3
0.504,0.686,0.848,4
0.506,0.057,0.28,2
0.495,0.016,0.258,2
0.052,0.749,0.431,3
0.698,0.963,0.463,1
0.561,0.03,0.23,2
0.431,0.074,0.169,2
0.456,0.701,0.73,4
0.466,0.708,0.795,4
0.392,0.012,0.26,2
0.46,0.024,0.312,2
0.093,0.835,0.446,3
0.076,0.756,0.469,3
0.005,0.726,0.399,3
0.444,0.053,0.263,2
