x,y,cluster
0.444,0.673,3
0.273,0.477,1
0.091,0.763,4
0.256,0.575,1
0.007,0.682,4
0.426,0.652,3
0.871,0.552,2
0.39,0.714,3
0.152,0.712,4
1.064,0.506,2
0.505,0.069,0
0.512,0.063,0
0.315,0.722,3
0.501,0.796,3
0.474,0.775,3
0.483,0.034,0
0.013,0.768,4
0.463,0.695,3
1.037,0.494,2
0.494,0.042,0
0.961,0.603,2
0.447,0.765,3
0.077,0.76,4
0.13,0.741,4
0.401,0.7,3
0.506,0.088,0
0.018,0.79,4
0.225,0.47,1
1.026,0.551,2
0.922,0.594,2
0.512,0.108,0
0.44,0.724,3
0.549,0.002,0
0.508,0.032,0
1.009,0.512,2
0.087,0.753,4
0.252,0.45,1
0.271,0.496,1
0.478,0.858,3
0.92,0.497,2
0.163,0.783,4
0.957,0.515,2
0.216,0.476,1
0.968,0.542,2
0.526,0.036,0
0.527,0.065,0
0.025,0.801,4
0.315,0.57,1
0.943,0.524,2
0.936,0.568,2
0.44,0.716,3
0.496,0.669,3
0.938,0.529,2
0.424,0.708,3
0.338,0.703,3
0.46,0.782,3
0.013,0.802,4
0.12,0.722,4
0.062,0.715,4
0.29,0.425,1
0.889,0.499,2
0.923,0.577,2
0.415,0.739,3
0.218,0.445,1
0.389,0.669,3
0.507,0.102,0
0.187,0.755,4
0.962,0.533,2
0.287,0.454,1
0.51,0.095,0
0.144,0.77,4
0.481,0.678,3
0.986,0.563,2
0.959,0.489,2
0.299,0.592,1
0.367,0.73,3
0.505,0.121,0
0.467,0.689,3
0.447,0.788,3
0.372,0.717,3
0.407,0.709,3
0.931,0.539,2
0.413,0.792,3
0.554,0.058,0
0.213,0.509,1
0.071,0.8,4
0.326,0.522,1
0.037,0.838,4
1.005,0.507,2
0.093,0.792,4
0.437,0.76,3
0.265,0.518,1
0.048,0.817,4
0.449,0.765,3
0.531,0.083,0
0.082,0.721,4
0.261,0.511,1
0.102,0.833,4
0.051,0.762,4
0.082,0.72,4
0.081,0.739,4
0.264,0.545,1
0.493,0.068,0
0.445,0.682,3
0.519,0.047,0
0.985,0.581,2
0.947,0.545,2
0.455,0.712,3
0.253,0.505,1
0.515,0.067,0
0.474,0.122,0
0.253,0.456,1
0.995,0.494,2
0.258,0.49,1
0.276,0.532,1
0.872,0.576,2
0.054,0.776,4
0.243,0.472,1
0.119,0.788,4
0.441,0.744,3
0.113,0.791,4
0.932,0.576,2
0.494,0.07,0
0.107,0.856,4
1.011,0.467,2
0.413,0.732,3
0.918,0.527,2
0.134,0.785,4
0.959,0.558,2
0.255,0.506,1
0.501,0.751,3
0.575,0.028,0
0.535,0.729,3
0.507,0.025,0
0.454,0.095,0
0.499,0.707,3
0.261,0.537,1
0.456,0.022,0
0.43,0.698,3
0.452,0.691,3
0.067,0.828,4
1.037,0.559,2
0.064,0.792,4
0.923,0.542,2
0.417,0.746,3
0.507,0.72,3
0.463,0.722,3
0.95,0.522,2
0.103,0.733,4
0.023,0.723,4
0.283,0.528,1
0.954,0.556,2
0.383,0.758,3
1.018,0.572,2
0.219,0.47,1
0.053,0.768,4
0.221,0.496,1
0.52,0.137,0
0.123,0.815,4
0.527,0.101,0
0.027,0.756,4
0.077,0.836,4
0.98,0.58,2
0.108,0.822,4
0.985,0.565,2
0.45,0.049,0
0.116,0.769,4
0.382,0.762,3
0.092,0.803,4
0.007,0.771,4
0.455,0.104,0
0.498,0.704,3
0.337,0.556,1
0.973,0.559,2
0.505,0.081,0
0.96,0.508,2
0.562,0.176,0
0.467,0.073,0
0.475,0.126,0
0.011,0.813,4
0.437,0.004,0
0.534,0.113,0
0.401,0.661,3
0.531,0.019,0
0.315,0.47,1
0.295,0.514,1
0.529,0.013,0
0.086,0.791,4
0.221,0.414,1
0.531,0.082,0
0.412,0.622,3
0.111,0.693,4
0.455,0.785,3
0.452,0.726,3
0.453,0.047,0
0.264,0.513,1
0.282,0.413,1
0.276,0.475,1
0.435,0.786,3
0.501,0.034,0
0.444,0.111,0
0.065,0.771,4
0.448,0.003,0
0.107,0.805,4
0.996,0.497,2
0.476,0.813,3
0.498,0.047,0
0.423,0.074,0
0.476,0.688,3
0.515,0.111,0
0.471,0.665,3
0.451,0.705,3
0.426,0.123,0
0.982,0.447,2
0.528,0.125,0
0.466,0.073,0
0.488,0.09,0
0.95,0.585,2
0.455,0.109,0
0.303,0.454,1
0.251,0.441,1
0.333,0.524,1
0.202,0.469,1
0.135,0.775,4
0.073,0.799,4
0.489,0.059,0
1.011,0.554,2
0.904,0.499,2
0.966,0.578,2
0.426,0.104,0
0.947,0.533,2
0.557,0.172,0
0.224,0.394,1
0.073,0.755,4
0.513,0.715,3
0.444,0.664,3
1.004,0.514,2
0.272,0.44,1
0.222,0.496,1
0.266,0.434,1
0.276,0.472,1
0.322,0.538,1
0.487,0.005,0
0.925,0.529,2
0.464,0.676,3
0.454,0.667,3
0.377,0.628,3
0.326,0.444,1
0.24,0.441,1
0.04,0.828,4
0.398,0.72,3
0.971,0.484,2
0.484,0.064,0
0.402,0.747,3
0.946,0.614,2
0.951,0.45,2
0.543,0.037,0
0.063,0.665,4
0.958,0.49,2
0.486,0.735,3
0.026,0.72,4
1.011,0.618,2
0.473,0.724,3
0.404,0.659,3
0.28,0.504,1
1.001,0.535,2
0.149,0.694,4
0.263,0.447,1
0.313,0.523,1
0.468,0.773,3
0.445,0.062,0
0.538,0.676,3
0.473,0.108,0
0.945,0.599,2
0.447,0.652,3
0.378,0.683,3
0.422,0.683,3
0.014,0.777,4
0.969,0.519,2
0.518,0.657,3
0.518,0.008,0
0.038,0.78,4
0.317,0.517,1
0.475,0.754,3
0.521,0.76,3
0.112,0.772,4
0.441,0.761,3
0.295,0.535,1
0.464,0.06,0
0.06,0.802,4
1.027,0.576,2
0.318,0.504,1
0.104,0.878,4
0.032,0.788,4
0.085,0.815,4
0.958,0.528,2
0.532,0.055,0
0.119,0.761,4
0.411,0.696,3
0.067,0.798,4
0.471,0.132,0
0.558,0.058,0
0.039,0.783,4
0.307,0.523,1
0.438,0.724,3
0.003,0.717,4
0.473,0.669,3
0.458,0.143,0
0.242,0.537,1
0.275,0.538,1
0.467,0.699,3
0.112,0.77,4
0.447,0.722,3
0.048,0.726,4
0.061,0.734,4
0.477,0.67,3
0.226,0.465,1
0.501,0.072,0
0.46,0.178,0
0.479,0.019,0
0.982,0.52,2
0.469,0.004,0
0.513,0.052,0
0.07,0.8,4
1.01,0.524,2
0.298,0.513,1
0.262,0.462,1
0.34,0.473,1
0.05,0.807,4
0.958,0.622,2
1.041,0.592,2
0.081,0.78,4
0.236,0.497,1
0.092,0.732,4
0.547,0.127,0
0.443,0.646,3
0.96,0.57,2
0.443,0.736,3
0.547,0.041,0
0.201,0.489,1
0.051,0.748,4
0.5,0.083,0
0.976,0.497,2
0.915,0.542,2
0.061,0.79,4
0.417,0.673,3
0.364,0.663,3
0.434,0.111,0
0.366,0.743,3
0.518,0.065,0
0.178,0.47,1
0.078,0.797,4
0.483,0.133,0
0.984,0.592,2
0.065,0.829,4
0.264,0.474,1
0.455,0.676,3
0.459,0.684,3
0.517,0.093,0
0.478,0.67,3
0.444,0.114,0
0.101,0.78,4
0.039,0.802,4
0.485,0.111,0
0.116,0.761,4
0.047,0.797,4
0.946,0.56,2
0.42,0.713,3
0.418,0.639,3
0.538,0.134,0
0.492,0.087,0
0.989,0.513,2
0.303,0.521,1
0.92,0.527,2
0.258,0.563,1
0.04,0.822,4
0.521,0.08,0
0.462,0.691,3
0.448,0.683,3
0.214,0.411,1
0.494,0.799,3
0.411,0.703,3
0.937,0.551,2
0.26,0.512,1
0.53,0.622,3
0.458,0.656,3
0.444,0.029,0
0.344,0.474,1
0.274,0.6,1
0.519,0.013,0
0.526,0.078,0
0.505,0.066,0
0.401,0.703,3
0.957,0.53,2
0.456,0.717,3
1.032,0.533,2
0.429,0.735,3
0.968,0.564,2
0.266,0.529,1
0.492,0.113,0
0.463,0.8,3
0.888,0.569,2
0.1,0.839,4
0.407,0.719,3
0.437,0.713,3
0.483,0.014,0
0.9,0.551,2
0.225,0.473,1
0.945,0.533,2
0.075,0.826,4
0.295,0.529,1
0.179,0.405,1
0.239,0.489,1
0.034,0.882,4
0.253,0.451,1
0.522,0.791,3
0.438,0.727,3
0.115,0.757,4
0.975,0.519,2
0.929,0.538,2
0.394,0.685,3
0.955,0.471,2
0.983,0.599,2
0.472,0.679,3
0.931,0.465,2
1.02,0.552,2
0.506,0.097,0
0.903,0.58,2
0.496,0.057,0
0.438,0.076,0
1.013,0.587,2
0.944,0.537,2
0.43,0.74,3
0.079,0.816,4
1.031,0.596,2
0.157,0.762,4
0.435,0.728,3
0.47,0.772,3
0.484,0.728,3
0.081,0.824,4
0.414,0.711,3
0.066,0.848,4
0.515,0.094,0
0.298,0.534,1
0.366,0.674,3
0.084,0.832,4
0.459,0.708,3
0.288,0.494,1
1.006,0.502,2
0.048,0.824,4
0.534,0.102,0
0.048,0.775,4
0.031,0.8,4
0.257,0.502,1
0.224,0.483,1
0.344,0.759,3
0.295,0.461,1
1.086,0.498,2
0.083,0.747,4
0.396,0.779,3
0.088,0.708,4
0.074,0.8,4
0.066,0.817,4
0.931,0.569,2
0.154,0.778,4
1.011,0.581,2
0.93,0.479,2
1.024,0.557,2
0.462,0.75,3
0.475,0.711,3
0.541,0.086,0
0.962,0.557,2
0.058,0.83,4
0.942,0.518,2
0.535,0.064,0
0.901,0.569,2
0.093,0.791,4
0.537,0.058,0
0.087,0.797,4
0.275,0.506,1
0.925,0.483,2
0.294,0.479,1
0.459,0.118,0
0.484,0.028,0
0.561,0.02,0
0.987,0.575,2
0.304,0.503,1
0.205,0.525,1
0.545,0.061,0
0.133,0.776,4
0.359,0.487,1
1.047,0.57,2
0.133,0.698,4
0.574,0.076,0
0.533,0.043,0
0.606,0.041,0
0.328,0.54,1
0.269,0.551,1
0.275,0.516,1
0.06,0.819,4
0.535,0.027,0
0.093,0.811,4
0.323,0.458,1
0.487,0.69,3
0.369,0.752,3
0.402,0.694,3
0.274,0.511,1
0.533,0.069,0
0.476,0.731,3
0.41,0.705,3
0.419,0.72,3
0.048,0.703,4
0.466,0.096,0
0.898,0.539,2
0.484,0.032,0
0.464,0.677,3
0.487,0.083,0
0.418,0.751,3
0.43,0.712,3
0.467,0.755,3
0.98,0.596,2
0.115,0.746,4
0.276,0.506,1
0.439,0.694,3
0.25,0.485,1
0.442,0.745,3
0.972,0.526,2
0.531,0.027,0
0.483,0.082,0
0.245,0.563,1
0.516,0.031,0
0.333,0.565,1
1.048,0.562,2
0.018,0.787,4
0.125,0.808,4
0.241,0.535,1
0.113,0.784,4
0.273,0.558,1
0.095,0.807,4
0.481,0.112,0
1.056,0.587,2
0.397,0.785,3
0.504,0.122,0
1.022,0.582,2
0.564,0.107,0
0.259,0.513,1
0.469,0.031,0
0.938,0.606,2
0.993,0.516,2
0.343,0.45,1
0.024,0.78,4
0.07,0.807,4
1.017,0.432,2
0.283,0.467,1
0.058,0.811,4
0.282,0.468,1
0.063,0.856,4
0.975,0.524,2
0.067,0.796,4
0.218,0.526,1
0.226,0.466,1
0.404,0.681,3
0.489,0.112,0
0.051,0.707,4
0.056,0.771,4
0.115,0.823,4
0.297,0.465,1
0.479,0.039,0
0.365,0.743,3
0.399,0.697,3
0.482,0.095,0
1.043,0.459,2
0.888,0.529,2
0.999,0.513,2
0.982,0.559,2
0.482,0.734,3
0.231,0.551,1
0.948,0.49,2
0.955,0.547,2
0.29,0.54,1
0.102,0.804,4
0.426,0.705,3
0.105,0.866,4
0.497,0.046,0
0.431,0.685,3
0.55,0.075,0
0.019,0.77,4
1.047,0.542,2
0.218,0.497,1
0.512,0.063,0
0.556,0.065,0
0.438,0.075,0
0.319,0.492,1
0.107,0.84,4
0.112,0.827,4
0.935,0.525,2
0.229,0.517,1
1.009,0.473,2
0.197,0.52,1
0.141,0.767,4
0.965,0.556,2
0.418,0.65,3
0.304,0.525,1
0.454,0.743,3
0.434,0.673,3
0.075,0.792,4
0.081,0.815,4
0.121,0.746,4
0.37,0.691,3
0.367,0.709,3
0.964,0.573,2
0.03,0.853,4
0.245,0.497,1
0.236,0.428,1
0.129,0.7,4
0.571,0.035,0
0.289,0.807,3
0.944,0.491,2
0.43,0.647,3
0.053,0.788,4
0.949,0.537,2
0.492,0.057,0
0.943,0.494,2
0.924,0.545,2
0.5,0.093,0
0.426,0.091,0
0.469,0.71,3
1,0.443,2
0.014,0.746,4
0.922,0.585,2
1.013,0.564,2
1.03,0.572,2
0.256,0.553,1
0.043,0.772,4
1.019,0.544,2
0.406,0.71,3
0.521,0.11,0
0.986,0.52,2
0.494,0.719,3
0.962,0.545,2
0.195,0.455,1
0.383,0.661,3
0.98,0.509,2
1.02,0.605,2
0.206,0.603,1
0.399,0.731,3
0.183,0.576,1
0.289,0.395,1
0.44,0.751,3
0.975,0.578,2
0.417,0.684,3
1.004,0.555,2
0.497,0.777,3
0.282,0.542,1
0.229,0.527,1
0.12,0.801,4
0.067,0.798,4
1.048,0.504,2
0.972,0.485,2
0.524,0.071,0
0.586,0.106,0
0.938,0.54,2
1.024,0.506,2
0.508,0.083,0
0.246,0.486,1
0.278,0.527,1
0.973,0.596,2
0.958,0.614,2
0.088,0.814,4
0.225,0.404,1
0.046,0.749,4
0.951,0.527,2
0.079,0.795,4
0.456,0.681,3
0.424,0.655,3
0.41,0.718,3
0.502,0.682,3
1.015,0.527,2
0.498,0.029,0
0.049,0.828,4
0.129,0.725,4
0.241,0.581,1
0.047,0.779,4
0.496,0,0
0.931,0.592,2
0.404,0.654,3
0.391,0.746,3
0.463,0.112,0
0.015,0.797,4
0.052,0.767,4
1.01,0.55,2
0.518,0.112,0
0.383,0.687,3
0.988,0.495,2
0.096,0.746,4
0.96,0.52,2
0.333,0.517,1
0.566,0.093,0
0.998,0.51,2
0.508,0.02,0
0.298,0.52,1
0.452,0.644,3
1.03,0.568,2
0.544,0.095,0
0.048,0.814,4
0.002,0.761,4
0.999,0.535,2
0.986,0.551,2
0.459,0.686,3
0.064,0.887,4
0.998,0.506,2
0.287,0.507,1
0.447,0.077,0
0.263,0.463,1
0.283,0.494,1
0.339,0.519,1
0.513,0.734,3
0.08,0.799,4
0.483,0.713,3
0.458,0.712,3
0.399,0.767,3
0.462,0.709,3
0.548,0.005,0
0.956,0.624,2
0.435,0.749,3
0.085,0.816,4
0.976,0.522,2
0.048,0.815,4
0.984,0.575,2
0.018,0.813,4
0.103,0.758,4
0.485,0.106,0
0.531,0.01,0
0.101,0.797,4
0.292,0.511,1
0.977,0.609,2
0.319,0.526,1
0.544,0.121,0
0.21,0.517,1
0.452,0.719,3
0.038,0.754,4
0.468,0.751,3
0.486,0.037,0
0.272,0.463,1
0.445,0.708,3
0.271,0.512,1
0.386,0.733,3
0.275,0.523,1
0.45,0.111,0
0.278,0.452,1
0.244,0.51,1
0.506,0.699,3
0.376,0.776,3
0.244,0.428,1
0.092,0.809,4
0.922,0.56,2
0.434,0.75,3
1.036,0.491,2
0.551,0.101,0
0.476,0.041,0
0.398,0.669,3
0.052,0.734,4
0.941,0.435,2
0.41,0.086,0
0.454,0.7,3
0.058,0.783,4
0.996,0.508,2
0.049,0.824,4
0.106,0.652,4
0.092,0.805,4
0.427,0.685,3
0.1,0.712,4
0.517,0.133,0
1.051,0.546,2
1.029,0.484,2
0.228,0.464,1
0.408,0.782,3
0.976,0.547,2
0.494,0.066,0
0.259,0.538,1
0.384,0.729,3
0.277,0.464,1
0.058,0.748,4
0.878,0.525,2
0.288,0.49,1
0.447,0.75,3
1.036,0.485,2
0.401,0.746,3
0.534,0.084,0
0.953,0.576,2
0.469,0.808,3
0.576,0.058,0
0.501,0.05,0
1.027,0.484,2
0.403,0.724,3
0.408,0.683,3
0.944,0.508,2
0.562,0.033,0
0.228,0.472,1
0.466,0.08,0
0.233,0.427,1
0.292,0.461,1
0.073,0.743,4
0.088,0.801,4
1.063,0.574,2
0.075,0.772,4
0.969,0.54,2
0.224,0.497,1
0.476,0.729,3
1.033,0.539,2
0.964,0.616,2
0.018,0.778,4
0.969,0.587,2
0.939,0.521,2
0.959,0.563,2
1.005,0.607,2
0.48,0.082,0
0.019,0.824,4
0.257,0.483,1
0.497,0.702,3
0.054,0.822,4
0.103,0.748,4
0.087,0.76,4
0.293,0.546,1
0.541,0.101,0
0.985,0.504,2
0.274,0.478,1
0.989,0.538,2
0.119,0.753,4
0.988,0.467,2
0.069,0.763,4
0.134,0.899,4
1,0.557,2
0.488,0.017,0
0.501,0.669,3
0.221,0.504,1
0.471,0.695,3
0.166,0.759,4
0.427,0.766,3
0.013,0.792,4
0.071,0.732,4
0.458,0.754,3
1.018,0.564,2
1.041,0.463,2
0.271,0.482,1
1.021,0.566,2
0.46,0.061,0
0.304,0.494,1
0.426,0.743,3
0.981,0.499,2
0.114,0.84,4
0.239,0.525,1
1.009,0.522,2
0.97,0.496,2
0.136,0.699,4
0.258,0.476,1
0.118,0.722,4
0.439,0.733,3
0.458,0.732,3
0.489,0.678,3
0.121,0.739,4
0.328,0.503,1
0.2,0.524,1
1.004,0.594,2
0.976,0.576,2
0.128,0.783,4
0.222,0.444,1
1.058,0.552,2
0.576,0.082,0
0.996,0.534,2
0.054,0.834,4
0.084,0.797,4
0.467,0.064,0
1.056,0.504,2
0.539,0.051,0
0.044,0.803,4
0.291,0.532,1
0.525,0.039,0
0.467,0.682,3
0.308,0.517,1
0.449,0.13,0
0.119,0.668,4
0.08,0.814,4
0.437,0.756,3
0.454,0.137,0
0.284,0.497,1
0.266,0.481,1
0.504,0.042,0
0.508,0.046,0
0.304,0.578,1
0.24,0.508,1
0.399,0.733,3
0.336,0.388,1
0.359,0.513,1
0.24,0.494,1
0.048,0.757,4
1.047,0.61,2
0.243,0.449,1
0.994,0.537,2
0.294,0.534,1
0.579,0.04,0
0.526,0.751,3
1.019,0.477,2
0.446,0.74,3
1.114,0.545,2
0.1,0.716,4
0.478,0.155,0
1.035,0.547,2
0.094,0.808,4
0.498,0.038,0
0.235,0.551,1
0.476,0.02,0
0.578,0.073,0
0.398,0.727,3
0.243,0.477,1
0.003,0.804,4
0.087,0.792,4
0.072,0.785,4
0.989,0.503,2
0.078,0.778,4
0.465,0.075,0
0.457,0.704,3
1.007,0.57,2
0.077,0.78,4
0.45,0.725,3
0.428,0.722,3
0.996,0.535,2
1.01,0.564,2
0.11,0.733,4
0.453,0.796,3
0.24,0.44,1
0.07,0.765,4
0.27,0.485,1
0.483,0.093,0
0.271,0.444,1
0.069,0.809,4
0.409,0.704,3
0.102,0.832,4
0.187,0.799,4
0.495,0.075,0
0.444,0.722,3
0.279,0.455,1
0.429,0.712,3
0.46,0.76,3
0.457,0.709,3
0.49,0.132,0
0.544,0.084,0
0.13,0.799,4
0.435,0.722,3
0.443,0.721,3
0.517,0.055,0
0.265,0.505,1
0.071,0.794,4
0.53,0.112,0
0.419,0.036,0
0.256,0.557,1
0.959,0.533,2
1.05,0.526,2
0.427,0.733,3
0.296,0.496,1
0.533,0.062,0
0.083,0.704,4
0.436,0.685,3
0.474,0.074,0
0.89,0.524,2
0.425,0.67,3
0.049,0.77,4
0.043,0.729,4
0.951,0.462,2
0.246,0.517,1
0.001,0.723,4
0.466,0.686,3
0.206,0.512,1
0.105,0.812,4
0.43,0.058,0
0.889,0.582,2
0.457,0.04,0
0.442,0.713,3
0.501,0.726,3
0.427,0.712,3
0.075,0.797,4
0.478,0.061,0
0.494,0.106,0
1.03,0.48,2
0.947,0.573,2
0.425,0.711,3
0.471,0.725,3
0.277,0.506,1
0.513,0.142,0
0.403,0.731,3
0.448,0.742,3
0.531,0.048,0
0.311,0.558,1
0.054,0.778,4
0.045,0.754,4
0.974,0.515,2
0.421,0.097,0
0.065,0.808,4
0.099,0.79,4
0.321,0.539,1
0.582,0.005,0
0.07,0.749,4
0.263,0.494,1
0.129,0.802,4
0.441,0.672,3
0.31,0.533,1
0.246,0.501,1
0.45,0.061,0
1.026,0.531,2
0.224,0.505,1
0.302,0.467,1
0.535,0.116,0
0.112,0.825,4
0.435,0.694,3
0.43,0.089,0
0.412,0.734,3
0.054,0.749,4
0.267,0.489,1
0.532,0.039,0
0.971,0.582,2
0.604,0.095,0
0.488,0.697,3
0.443,0.065,0
0.484,0.013,0
0.509,0.03,0
0.444,0.756,3
0.107,0.816,4
0.039,0.837,4
0.023,0.798,4
0.316,0.608,1
0.405,0.749,3
0.483,0.072,0
0.259,0.464,1
0.989,0.631,2
0.247,0.543,1
0.261,0.495,1
0.431,0.107,0
0.026,0.828,4
0.467,0.027,0
0.986,0.545,2
0.255,0.511,1
0.491,0.127,0
0.116,0.752,4
0.982,0.55,2
0.455,0.092,0
0.089,0.791,4
0.025,0.768,4
0.061,0.741,4
0.079,0.772,4
0.495,0.008,0
0.048,0.779,4
0.498,0.072,0
0.283,0.562,1
0.95,0.526,2
0.505,0.048,0
0.506,0.067,0
0.004,0.804,4
0.912,0.468,2
0.557,0.045,0
0.994,0.571,2
0.415,0.713,3
0.115,0.814,4
0.439,0.143,0
0.003,0.736,4
0.269,0.561,1
0.535,0.111,0
0.363,0.524,1
0.113,0.77,4
0.016,0.702,4
0.242,0.483,1
0.3,0.594,1
0.423,0.772,3
0.254,0.424,1
0.543,0.147,0
0.977,0.441,2
0.16,0.788,4
0.898,0.569,2
0.494,0.776,3
0.51,0.078,0
0.076,0.796,4
0.27,0.477,1
0.442,0.684,3
0.496,0.088,0
0.431,0.138,0
0.934,0.518,2
0.441,0.725,3
0.267,0.444,1
0.006,0.812,4
0.913,0.544,2
1.01,0.533,2
0.088,0.79,4
0.061,0.745,4
0.49,0.735,3
0.263,0.512,1
0.391,0.706,3
0.491,0.073,0
0.443,0.755,3
0.377,0.774,3
0.454,0.706,3
