x,y,cluster
0.36,0.535,2
0.405,0.739,4
0.459,0.818,4
0.287,0.487,2
0.123,0.794,1
0.431,0.107,0
0.415,0.087,0
0.542,0.068,0
0.978,0.526,3
0.463,0.768,4
0.37,0.745,4
0.034,0.825,1
1.004,0.497,3
0.948,0.578,3
0.047,0.75,1
0.29,0.529,2
0.092,0.841,1
1.022,0.533,3
0.45,0.111,0
0.527,0.064,0
0.444,0.021,0
0.988,0.532,3
0.14,0.748,1
0.509,0.119,0
0.439,0.066,0
0.064,0.796,1
0.521,0.046,0
0.505,0.685,4
0.026,0.793,1
0.425,0.665,4
0.212,0.455,2
0.446,0.123,0
0.932,0.597,3
0.981,0.584,3
0.966,0.488,3
1.003,0.485,3
0.96,0.452,3
0.341,0.499,2
0.051,0.866,1
0.105,0.832,1
0.937,0.546,3
0.326,0.491,2
1.007,0.544,3
0.301,0.445,2
0.214,0.49,2
0.061,0.761,1
0.056,0.839,1
0.256,0.51,2
0.076,0.863,1
0.532,0.085,0
0.965,0.528,3
1.015,0.546,3
0.297,0.541,2
1.012,0.538,3
0.97,0.506,3
0.268,0.469,2
0.078,0.761,1
0.206,0.513,2
0.453,0.056,0
0.262,0.524,2
0.095,0.723,1
0.079,0.756,1
0.453,0.101,0
0.429,0.734,4
0.275,0.425,2
0.454,0.694,4
0.353,0.722,4
0.485,0.137,0
0.168,0.814,1
1.025,0.478,3
0.028,0.738,1
0.385,0.746,4
0.083,0.748,1
0.103,0.803,1
0.482,0.153,0
0.418,0.775,4
0.39,0.699,4
0.249,0.427,2
0.461,0.145,0
0.556,0.121,0
0.298,0.455,2
0.499,0.06,0
0.427,0.763,4
0.03,0.812,1
1.004,0.486,3
0.55,0.75,4
0.469,0.723,4
0.446,0.719,4
0.192,0.586,2
0.289,0.518,2
0.04,0.772,1
0.451,0.631,4
0.96,0.495,3
1.037,0.483,3
0.257,0.526,2
0.52,0.132,0
0.392,0.748,4
0.056,0.842,1
0.439,0.741,4
0.229,0.498,2
0.109,0.765,1
0.441,0.686,4
0.269,0.501,2
0.081,0.747,1
0.468,0.055,0
0.314,0.507,2
0.45,0.666,4
0.247,0.532,2
0.58,0.095,0
0.457,0.083,0
0.477,0.745,4
0.12,0.767,1
0.227,0.485,2
0.485,0.722,4
0.31,0.57,2
0.453,0.727,4
0.136,0.827,1
0.071,0.736,1
1.027,0.532,3
0.49,0.13,0
0.554,0.068,0
0.479,0.071,0
0.964,0.629,3
0.28,0.511,2
0.283,0.474,2
0.124,0.729,1
0.26,0.548,2
0.239,0.492,2
0.969,0.534,3
0.518,0.039,0
0.974,0.558,3
0.274,0.478,2
0.319,0.511,2
0.51,0.087,0
0.114,0.832,1
0.968,0.509,3
0.08,0.783,1
0.313,0.471,2
0.504,0.022,0
0.373,0.436,2
0.065,0.777,1
0.135,0.757,1
0.45,0.734,4
0.913,0.52,3
0.937,0.6,3
0.4,0.752,4
0.28,0.495,2
0.526,0.672,4
0.073,0.824,1
0.535,0.108,0
0.568,0.11,0
0.997,0.532,3
0.963,0.525,3
0.411,0.729,4
0.107,0.761,1
0.958,0.568,3
0.423,0.814,4
0.54,0.067,0
1.037,0.583,3
0.055,0.772,1
0.099,0.785,1
0.073,0.703,1
0.273,0.499,2
0.427,0.722,4
0.537,0.039,0
0.178,0.449,2
0.1,0.772,1
0.989,0.588,3
0.998,0.529,3
0.236,0.506,2
0.498,0.043,0
0.055,0.735,1
0.493,0.114,0
0.235,0.495,2
0.107,0.763,1
0.515,0.061,0
1.069,0.518,3
0.447,0.7,4
1.034,0.611,3
0.438,0.747,4
0.23,0.431,2
0.261,0.526,2
0.964,0.512,3
0.408,0.683,4
0.999,0.556,3
0.206,0.523,2
0.532,0.053,0
0.093,0.766,1
0.483,0.747,4
0.417,0.665,4
0.492,0.057,0
0.398,0.493,2
0.583,0.068,0
0.445,0.746,4
0.511,0.028,0
0.954,0.542,3
0.037,0.785,1
0.064,0.808,1
0.074,0.705,1
0.416,0.716,4
0.489,0.068,0
0.472,0.033,0
0.534,0.089,0
0.422,0.719,4
0.261,0.498,2
0.043,0.754,1
0.986,0.53,3
0.487,0.088,0
0.558,0.73,4
0.099,0.738,1
0.338,0.746,4
0.444,0.774,4
0.078,0.831,1
0.105,0.831,1
0.099,0.786,1
0.495,0.126,0
0.479,0.075,0
0.953,0.567,3
0.42,0.672,4
0.449,0.048,0
0.881,0.512,3
0.513,0.008,0
0.52,0.022,0
0.889,0.52,3
1,0.555,3
0.55,0.07,0
0.291,0.555,2
0.474,0.74,4
0.241,0.457,2
0.086,0.797,1
0.426,0.762,4
0.538,0.028,0
0.215,0.517,2
0.404,0.79,4
0.983,0.497,3
0.535,0.125,0
0.236,0.565,2
0.945,0.587,3
0.232,0.531,2
0.465,0.691,4
0.561,0.024,0
0.479,0.702,4
0.451,0.71,4
0.073,0.758,1
0.115,0.858,1
0.534,0.087,0
0.956,0.577,3
0.962,0.566,3
0.474,0.117,0
0.402,0.691,4
0.07,0.773,1
0.421,0.737,4
0.436,0.089,0
0.255,0.422,2
0.183,0.785,1
0.485,0.044,0
0.313,0.515,2
0.332,0.598,2
0.438,0.688,4
1.011,0.468,3
0.958,0.52,3
0.526,0.099,0
0.332,0.454,2
0.509,0.067,0
0.908,0.513,3
0.948,0.477,3
0.231,0.458,2
1.01,0.516,3
0.12,0.795,1
0.922,0.589,3
0.457,0.741,4
0.411,0.733,4
0.26,0.479,2
0.424,0.652,4
0.332,0.497,2
0.041,0.762,1
0.046,0.83,1
0.155,0.464,2
0.248,0.46,2
0.236,0.54,2
0.342,0.467,2
0.011,0.825,1
0.508,0.1,0
0.31,0.45,2
0.965,0.496,3
0.021,0.752,1
0.536,0.063,0
0.355,0.695,4
0.104,0.808,1
0.053,0.864,1
0.977,0.539,3
0.413,0.777,4
0.426,0.098,0
0.328,0.49,2
0.406,0.684,4
0.438,0.705,4
0.926,0.567,3
0.398,0.055,0
0.1,0.781,1
0.964,0.631,3
0.357,0.668,4
0.495,0.096,0
0.511,0.702,4
0.431,0.734,4
0.433,0.766,4
0.976,0.497,3
0.074,0.828,1
0.96,0.585,3
0.393,0.75,4
0.401,0.709,4
0.959,0.536,3
0.429,0.632,4
0.489,0.79,4
0.519,0.09,0
0.444,0.101,0
0.066,0.801,1
0.999,0.565,3
0.093,0.77,1
0.474,0.091,0
0.375,0.693,4
0.995,0.576,3
0.494,0.695,4
0.516,0.079,0
0.205,0.54,2
0.449,0.058,0
0.546,0.059,0
0.474,0.703,4
0.4,0.692,4
0.432,0.708,4
0.489,0.102,0
0.518,0.056,0
0.286,0.554,2
0.925,0.608,3
0.275,0.495,2
0.283,0.577,2
0.112,0.833,1
0.284,0.521,2
0.39,0.725,4
0.313,0.516,2
0.303,0.478,2
0.384,0.662,4
0.09,0.826,1
0.155,0.777,1
0.098,0.822,1
0.94,0.525,3
0.92,0.548,3
0.287,0.549,2
0.391,0.736,4
0.973,0.526,3
0.358,0.468,2
0.403,0.741,4
0.44,0.755,4
0.125,0.802,1
0.93,0.528,3
0.3,0.476,2
0.079,0.776,1
0.477,0.008,0
0.065,0.755,1
0.492,0.113,0
0.076,0.769,1
1.04,0.55,3
0.524,0.027,0
0.253,0.561,2
0.042,0.735,1
0.322,0.504,2
0.26,0.425,2
0.496,0.047,0
0.397,0.735,4
0.52,0.048,0
0.306,0.471,2
0.573,0.035,0
0.423,0.758,4
0.314,0.474,2
0.375,0.713,4
0.462,0.779,4
0.475,0.061,0
0.09,0.743,1
0.325,0.499,2
0.462,0.116,0
0.087,0.815,1
0.036,0.742,1
0.981,0.518,3
0.54,0.047,0
0.278,0.417,2
0.974,0.519,3
0.105,0.801,1
0.484,0.079,0
0.232,0.422,2
0.966,0.572,3
0.279,0.445,2
0.036,0.775,1
0.08,0.825,1
0.439,0.109,0
0.235,0.481,2
0.304,0.502,2
0.425,0.727,4
0.414,0.735,4
0.245,0.483,2
0.057,0.789,1
0.461,0.731,4
0.524,0.079,0
0.056,0.76,1
0.486,0.709,4
0.089,0.797,1
1.012,0.583,3
0.594,0.069,0
0.297,0.512,2
0.968,0.489,3
0.045,0.815,1
0.242,0.409,2
0.445,0.028,0
0.422,0.728,4
0.996,0.529,3
0.487,0.07,0
0.383,0.693,4
0.456,0.059,0
0.247,0.474,2
0.536,0.089,0
0.516,0.028,0
0.97,0.513,3
0.448,0.749,4
0.99,0.53,3
0.291,0.491,2
0.992,0.587,3
0.523,0.113,0
0.492,0.05,0
0.042,0.785,1
0.44,0.709,4
0.318,0.568,2
0.42,0.092,0
0.26,0.545,2
0.058,0.768,1
0.259,0.55,2
0.331,0.475,2
0.454,0.716,4
0.245,0.474,2
0.087,0.757,1
0.281,0.473,2
0.322,0.43,2
0.095,0.827,1
1.005,0.507,3
0.984,0.581,3
0.473,0.124,0
0.012,0.81,1
0.075,0.767,1
0.386,0.795,4
0.346,0.773,4
0.382,0.75,4
0.474,0.671,4
0.976,0.556,3
0.958,0.468,3
0.267,0.598,2
0.052,0.743,1
0.376,0.689,4
0.499,0.093,0
0.239,0.492,2
0.921,0.539,3
0.464,0.698,4
0.366,0.716,4
0.442,0.709,4
0.01,0.775,1
0.313,0.479,2
1.028,0.556,3
0.049,0.804,1
0.261,0.486,2
0.256,0.482,2
0.025,0.753,1
0.517,0.072,0
0.497,0.711,4
0.508,0.094,0
0.042,0.721,1
0.425,0.045,0
0.228,0.552,2
0.26,0.419,2
0.972,0.515,3
0.014,0.802,1
0.44,0.718,4
0.266,0.506,2
0.325,0.513,2
0.071,0.806,1
0.217,0.482,2
0.401,0.746,4
0.273,0.471,2
0.298,0.478,2
0.407,0.708,4
0.538,0.676,4
0.525,0.057,0
0.418,0.085,0
0.531,0.026,0
0.981,0.547,3
0.334,0.424,2
0.518,0.049,0
0.235,0.48,2
0.953,0.556,3
0.93,0.473,3
0.952,0.515,3
0.45,0.735,4
0.441,0.833,4
0.979,0.579,3
0.023,0.807,1
0.991,0.621,3
1.047,0.545,3
0.078,0.713,1
0.259,0.54,2
0.392,0.738,4
0.533,0.082,0
0.033,0.726,1
0.97,0.498,3
0.506,0.078,0
0.974,0.54,3
0.912,0.552,3
0.205,0.551,2
0.948,0.56,3
0.197,0.452,2
1,0.544,3
0.381,0.699,4
0.509,0.048,0
0.108,0.741,1
0.036,0.768,1
0.572,0.113,0
0.316,0.475,2
0.241,0.496,2
0.032,0.829,1
0.149,0.755,1
0.479,0.112,0
0.977,0.61,3
0.455,0.13,0
1.055,0.508,3
0.502,0.071,0
0.933,0.576,3
0.345,0.466,2
0.09,0.668,1
0.526,0.054,0
0.373,0.683,4
0.485,0.069,0
0.979,0.522,3
0.532,0.086,0
0.457,0.72,4
0.523,0.08,0
0.885,0.548,3
0.239,0.501,2
0.022,0.737,1
0.454,0.724,4
0.413,0.068,0
0.245,0.523,2
1.05,0.569,3
1.042,0.5,3
0.029,0.755,1
0.096,0.754,1
0.436,0.739,4
0.344,0.511,2
0.991,0.539,3
0.225,0.507,2
0.276,0.498,2
0.02,0.767,1
0.433,0.681,4
0.955,0.508,3
0.477,0.096,0
0.988,0.549,3
0.975,0.591,3
0.205,0.521,2
0.461,0.762,4
0.169,0.793,1
0.106,0.747,1
1.046,0.523,3
0.526,0.084,0
0.954,0.461,3
0.088,0.839,1
0.467,0.794,4
0.526,0.023,0
1.003,0.547,3
0.284,0.482,2
0.448,0.066,0
0.337,0.515,2
0.47,0.068,0
1.035,0.579,3
0.457,0.113,0
0.939,0.503,3
0.301,0.433,2
0.528,0.026,0
0.475,0.729,4
0.226,0.452,2
0.256,0.512,2
0.537,0.004,0
0.26,0.46,2
0.385,0.735,4
0.025,0.742,1
1.018,0.558,3
0.35,0.528,2
0.417,0.684,4
0.46,0.073,0
0.242,0.562,2
0.088,0.79,1
0.253,0.493,2
0.124,0.751,1
1.05,0.55,3
0.295,0.439,2
0.4,0.521,2
0.921,0.538,3
0.108,0.781,1
0.425,0.694,4
0.098,0.812,1
0.474,0.044,0
0.093,0.667,1
0.487,0.116,0
0.488,0.739,4
0.498,0.068,0
0.087,0.759,1
0.464,0.03,0
0.425,0.119,0
0.548,0.111,0
0.221,0.483,2
0.984,0.498,3
0.517,0.005,0
0.523,0.075,0
0.544,0.086,0
0.513,0.031,0
0.392,0.672,4
0.417,0.654,4
0.213,0.468,2
0.054,0.822,1
0.957,0.522,3
1.016,0.51,3
0.398,0.686,4
0.275,0.505,2
0.935,0.504,3
1.022,0.527,3
0.296,0.542,2
0.477,0.746,4
0.532,0.043,0
0.396,0.435,2
0.47,0.105,0
0.447,0.75,4
0.054,0.854,1
0.175,0.555,2
0.054,0.842,1
0.051,0.816,1
0.086,0.755,1
0.972,0.444,3
0.462,0.039,0
0.294,0.46,2
0.948,0.499,3
0.267,0.52,2
0.94,0.657,3
0.478,0.079,0
0.23,0.434,2
0.119,0.754,1
0.424,0.796,4
0.28,0.559,2
0.553,0.741,4
0.385,0.684,4
0.282,0.531,2
0.13,0.805,1
0.265,0.477,2
0.928,0.555,3
0.44,0.734,4
0.172,0.521,2
0.529,0.087,0
0.133,0.733,1
0.293,0.539,2
0.404,0.797,4
0.03,0.757,1
0.435,0.816,4
0.062,0.8,1
0.518,0.079,0
0.377,0.776,4
0.036,0.75,1
0.064,0.72,1
0.092,0.797,1
0.236,0.403,2
0.543,0.015,0
0.289,0.556,2
0.277,0.449,2
0.36,0.703,4
0.529,0.084,0
0.49,0.063,0
0.996,0.538,3
0.111,0.731,1
0.065,0.702,1
0.37,0.753,4
0.018,0.787,1
0.258,0.563,2
0.266,0.529,2
0.029,0.76,1
0.44,0.074,0
0.443,0.083,0
0.076,0.776,1
0.037,0.856,1
0.05,0.802,1
0.416,0.051,0
0.06,0.753,1
0.309,0.564,2
0.51,0.039,0
0.448,0.668,4
0.459,0.75,4
0.934,0.445,3
0.249,0.44,2
0.251,0.514,2
0.527,0.087,0
0.264,0.48,2
0.442,0.729,4
0.458,0.691,4
0.084,0.806,1
0.476,0.653,4
0.47,0.657,4
0.496,0.1,0
0.388,0.712,4
0.334,0.512,2
0.071,0.813,1
0.437,0.706,4
1.001,0.496,3
0.077,0.786,1
0.493,0.083,0
0.987,0.549,3
0.406,0.628,4
0.515,0.052,0
0.528,0.052,0
0.246,0.506,2
0.428,0.733,4
0.465,0.657,4
0.255,0.463,2
0.374,0.694,4
0.282,0.444,2
0.089,0.763,1
0.077,0.808,1
0.935,0.535,3
0.179,0.543,2
0.263,0.567,2
0.287,0.509,2
0.895,0.486,3
0.405,0.709,4
0.457,0.759,4
0.98,0.567,3
0.497,0.054,0
0.979,0.538,3
1.005,0.534,3
0.473,0.1,0
0.96,0.59,3
0.265,0.541,2
0.444,0.766,4
0.464,0.752,4
0.04,0.726,1
0.556,0.062,0
0.082,0.8,1
0.319,0.389,2
0.961,0.578,3
0.533,0.081,0
0.246,0.452,2
0.093,0.762,1
0.958,0.486,3
0.463,0.712,4
1.026,0.612,3
0.423,0.071,0
0.311,0.483,2
0.457,0.065,0
0.963,0.516,3
0.247,0.462,2
0.913,0.442,3
0.521,0.201,0
0.249,0.519,2
0.456,0.739,4
0.078,0.719,1
1.044,0.535,3
0.478,0.643,4
0.288,0.516,2
0.492,0.112,0
0.479,0.101,0
0.343,0.573,2
0.957,0.508,3
0.006,0.792,1
0.142,0.753,1
0.066,0.767,1
0.455,0.713,4
0.377,0.704,4
0.291,0.478,2
0.383,0.753,4
0.989,0.564,3
0.922,0.555,3
0.047,0.77,1
1.059,0.572,3
0.274,0.506,2
0.307,0.576,2
0.083,0.844,1
0.477,0.759,4
0.33,0.46,2
0.083,0.734,1
0.29,0.494,2
0.462,0.742,4
0.294,0.499,2
0.437,0.086,0
0.953,0.576,3
0.986,0.497,3
0.045,0.75,1
0.977,0.576,3
0.434,0.795,4
0.89,0.519,3
0.037,0.734,1
0.397,0.748,4
0.537,0.031,0
0.034,0.801,1
0.011,0.744,1
0.588,0.019,0
0.489,0.038,0
0.127,0.826,1
0.468,0.049,0
0.261,0.47,2
0.473,0.65,4
0.466,0.735,4
0.579,0.088,0
0.451,0.695,4
0.458,0.76,4
0.063,0.8,1
1.019,0.577,3
0.471,0.797,4
0.518,0.767,4
0.047,0.756,1
0.478,0.101,0
0.272,0.517,2
0.042,0.739,1
0.253,0.515,2
0.526,0.111,0
0.922,0.493,3
0.256,0.42,2
0.419,0.072,0
0.11,0.729,1
0.121,0.815,1
0.077,0.866,1
0.439,0.662,4
0.239,0.567,2
1.002,0.511,3
0.429,0.782,4
0.085,0.77,1
0.412,0.693,4
0.368,0.743,4
0.436,0.715,4
0.419,0.725,4
0.509,0.051,0
0.282,0.497,2
0.047,0.846,1
1.021,0.607,3
0.155,0.764,1
0.984,0.613,3
0.417,0.67,4
0.052,0.78,1
0.267,0.58,2
0.458,0.749,4
0.074,0.806,1
0.292,0.481,2
0.521,0.131,0
0.268,0.566,2
0.484,0.11,0
0.463,0.094,0
0.221,0.548,2
0.31,0.494,2
0.239,0.537,2
0.428,0.729,4
0.1,0.706,1
0.093,0.75,1
0.445,0.693,4
0.293,0.54,2
0.074,0.773,1
0.302,0.448,2
0.444,0.777,4
0.384,0.474,2
0.307,0.458,2
0.526,0.051,0
0.411,0.71,4
0.307,0.51,2
0.1,0.821,1
0.983,0.618,3
0.517,0.08,0
0.107,0.75,1
0.429,0.681,4
0.301,0.43,2
0.371,0.514,2
0.443,0.175,0
0.972,0.553,3
0.05,0.78,1
1.005,0.502,3
0.445,0.725,4
0.137,0.776,1
0.258,0.473,2
1.006,0.579,3
0.114,0.832,1
0.219,0.476,2
0.447,0.728,4
0.243,0.521,2
0.366,0.726,4
0.054,0.731,1
0.513,0.085,0
0.54,0.001,0
0.216,0.498,2
0.1,0.716,1
0.528,0.077,0
0.506,0.064,0
0.105,0.795,1
0.522,0.043,0
0.072,0.766,1
0.456,0.702,4
0.483,0.76,4
0.496,0.093,0
0.974,0.538,3
0.391,0.732,4
0.465,0.659,4
0.458,0.169,0
0.97,0.525,3
0.064,0.771,1
0.27,0.555,2
0.182,0.562,2
0.455,0.724,4
0.011,0.729,1
0.995,0.569,3
0.268,0.51,2
0.479,0.111,0
0.452,0.741,4
0.457,0.04,0
1.019,0.501,3
0.475,0.063,0
0.019,0.668,1
0.099,0.789,1
0.433,0.734,4
0.064,0.873,1
0.257,0.558,2
0.249,0.447,2
0.507,0.795,4
0.098,0.75,1
0.217,0.541,2
0.533,0.129,0
0.069,0.807,1
0.401,0.768,4
0.066,0.812,1
1.004,0.546,3
0.249,0.479,2
0.463,0.072,0
0.223,0.526,2
0.497,0.09,0
0.077,0.786,1
0.283,0.441,2
0.554,0.022,0
0.048,0.823,1
0.31,0.534,2
0.121,0.793,1
0.934,0.526,3
0.452,0.677,4
0.162,0.385,2
0.49,0.768,4
0.55,0.014,0
0.423,0.682,4
0.496,0.042,0
0.488,0.754,4
0.1,0.816,1
0.475,0.745,4
0.32,0.52,2
0.502,0.777,4
0.033,0.803,1
0.408,0.16,0
0.24,0.476,2
0.994,0.618,3
0.139,0.853,1
1.07,0.566,3
0.959,0.466,3
0.022,0.819,1
0.519,0.092,0
0.452,0.704,4
0.468,0.084,0
0.4,0.706,4
0.284,0.432,2
0.591,0.097,0
0.408,0.648,4
0.255,0.432,2
0.019,0.724,1
0.419,0.758,4
0.227,0.47,2
0.211,0.438,2
0.277,0.477,2
0.47,0.725,4
0.544,0.047,0
0.418,0.756,4
0.446,0.76,4
0.084,0.766,1
0.427,0.742,4
0.458,0.666,4
0.975,0.521,3
0.437,0.714,4
0.516,0.049,0
0.465,0.056,0
0.51,0.051,0
0.969,0.636,3
0.241,0.492,2
0.532,0.069,0
0.508,0.098,0
0.3,0.532,2
0.086,0.777,1
0.47,0.029,0
0.363,0.765,4
0.117,0.786,1
0.25,0.549,2
0.966,0.559,3
0.533,0.729,4
0.533,0.024,0
0.443,0.089,0
0.28,0.428,2
